,K,avgs
0,66,113.52
1,100,156.03
2,150,222.66
3,200,296.36
4,250,359.43
5,300,467.15
6,350,522.8
7,400,620.71
8,450,701.74
9,500,781.41
10,550,897.5
11,600,945.53
12,650,1068.84
13,700,1166.05
14,750,1273.7
15,800,1432.11
16,850,1508.12
17,900,1551.46
18,950,1638.06
19,1000,1736.13
