,K,avgs
0,66,119.92
1,100,166.67
2,150,236.84
3,200,320.0
4,250,404.5
5,300,498.48
6,350,580.55
7,400,640.6
8,450,722.67
9,500,840.86
10,550,933.4
11,600,1066.54
12,650,1158.61
13,700,1254.0
14,750,1392.32
15,800,1507.68
16,850,1583.85
17,900,1752.1
18,950,1812.91
19,1000,1945.73
