,K,avgs,feedback_packet_avgs
0,66,85.04,2.54
1,100,122.83,2.88
2,150,177.16,3.39
3,200,232.58,3.95
4,250,286.15,4.3
5,300,338.73,4.57
6,350,391.8,4.89
7,400,445.33,5.24
8,450,497.77,5.52
9,500,551.05,5.79
10,550,603.11,6.03
11,600,654.24,6.15
12,650,709.12,6.61
13,700,760.59,6.71
14,750,812.1,6.88
15,800,863.55,7.06
16,850,916.53,7.34
17,900,966.95,7.35
18,950,1019.83,7.68
19,1000,1072.61,7.91
