,w1_pro,w1_avgs,w2_avgs
0,0.0,162.34,163.07
1,0.1,162.32,165.55
2,0.2,160.33,166.93
3,0.3,155.9,169.59
4,0.4,151.05,176.69
5,0.5,143.65,186.5
6,0.6,132.16,197.67
7,0.7,123.08,208.21
8,0.8,114.0,214.89
9,0.9,107.45,231.58
