,w1_pro,times,w1_drops_used,w2_drops_used
0,0.2,0,159,167
1,0.2,1,160,160
2,0.2,2,159,159
3,0.2,3,159,172
4,0.2,4,143,143
5,0.2,5,162,162
6,0.2,6,153,153
7,0.2,7,166,166
8,0.2,8,166,181
9,0.2,9,152,160
10,0.2,10,164,164
11,0.2,11,151,161
12,0.2,12,166,166
13,0.2,13,169,169
14,0.2,14,156,156
15,0.2,15,156,156
16,0.2,16,141,149
17,0.2,17,159,159
18,0.2,18,159,159
19,0.2,19,165,188
20,0.2,20,145,189
21,0.2,21,164,190
22,0.2,22,165,165
23,0.2,23,166,166
24,0.2,24,142,142
25,0.2,25,150,189
26,0.2,26,166,166
27,0.2,27,158,158
28,0.2,28,169,169
29,0.2,29,156,156
30,0.2,30,155,155
31,0.2,31,170,171
32,0.2,32,159,189
33,0.2,33,185,201
34,0.2,34,156,156
35,0.2,35,178,178
36,0.2,36,159,159
37,0.2,37,160,187
38,0.2,38,163,163
39,0.2,39,164,164
40,0.2,40,164,164
41,0.2,41,155,163
42,0.2,42,165,189
43,0.2,43,160,183
44,0.2,44,166,166
45,0.2,45,159,189
46,0.2,46,145,187
47,0.2,47,166,166
48,0.2,48,159,166
49,0.2,49,148,152
50,0.2,50,186,186
51,0.2,51,165,165
52,0.2,52,161,168
53,0.2,53,156,156
54,0.2,54,174,174
55,0.2,55,162,162
56,0.2,56,155,155
57,0.2,57,168,168
58,0.2,58,149,166
59,0.2,59,164,164
60,0.2,60,167,167
61,0.2,61,168,168
62,0.2,62,165,165
63,0.2,63,162,172
64,0.2,64,171,171
65,0.2,65,162,162
66,0.2,66,155,155
67,0.2,67,167,167
68,0.2,68,163,163
69,0.2,69,151,177
70,0.2,70,178,178
71,0.2,71,159,176
72,0.2,72,170,189
73,0.2,73,161,161
74,0.2,74,159,191
75,0.2,75,155,159
76,0.2,76,147,147
77,0.2,77,160,176
78,0.2,78,162,162
79,0.2,79,149,160
80,0.2,80,169,169
81,0.2,81,165,165
82,0.2,82,160,160
83,0.2,83,141,157
84,0.2,84,159,159
85,0.2,85,169,169
86,0.2,86,160,191
87,0.2,87,172,172
88,0.2,88,181,181
89,0.2,89,154,154
90,0.2,90,160,160
91,0.2,91,167,167
92,0.2,92,147,189
93,0.2,93,146,146
94,0.2,94,140,141
95,0.2,95,161,161
96,0.2,96,155,160
97,0.2,97,151,151
98,0.2,98,162,162
99,0.2,99,161,161
