,num_chunks,times,w1_drop_num,w2_drop_num,feedback_num
0,650,0,615,827,10
1,650,1,607,786,9
2,650,2,629,809,10
3,650,3,612,791,9
4,650,4,691,867,11
5,650,5,610,799,9
6,650,6,610,836,10
7,650,7,636,839,11
8,650,8,649,824,10
9,650,9,633,813,10
10,650,10,620,800,9
11,650,11,611,816,10
12,650,12,644,813,10
13,650,13,600,840,11
14,650,14,606,811,10
15,650,15,632,792,9
16,650,16,648,839,11
17,650,17,593,813,10
18,650,18,654,828,10
19,650,19,609,821,10
20,650,20,633,809,10
21,650,21,616,830,10
22,650,22,632,781,9
23,650,23,605,788,9
24,650,24,615,809,10
25,650,25,659,823,10
26,650,26,606,809,10
27,650,27,619,840,11
28,650,28,634,809,10
29,650,29,633,839,11
30,650,30,626,839,11
31,650,31,633,785,9
32,650,32,660,810,10
33,650,33,618,815,10
34,650,34,634,810,10
35,650,35,642,837,10
36,650,36,630,810,10
37,650,37,659,841,11
38,650,38,606,819,10
39,650,39,606,809,10
40,650,40,649,843,11
41,650,41,630,800,9
42,650,42,633,804,9
43,650,43,610,787,9
44,650,44,628,825,10
45,650,45,646,809,10
46,650,46,603,783,9
47,650,47,606,827,10
48,650,48,659,839,11
49,650,49,648,809,10
50,650,50,635,839,11
51,650,51,629,809,10
52,650,52,643,846,11
53,650,53,637,849,11
54,650,54,628,807,9
55,650,55,619,795,9
56,650,56,615,822,10
57,650,57,638,782,9
58,650,58,638,809,10
59,650,59,631,791,9
60,650,60,629,852,11
61,650,61,631,798,9
62,650,62,623,794,9
63,650,63,602,809,10
64,650,64,659,819,10
65,650,65,611,826,10
66,650,66,654,816,10
67,650,67,636,800,9
68,650,68,623,839,11
69,650,69,609,811,10
70,650,70,617,820,10
71,650,71,599,826,10
72,650,72,596,790,9
73,650,73,649,845,11
74,650,74,608,814,10
75,650,75,640,830,10
76,650,76,630,790,9
77,650,77,623,799,9
78,650,78,600,788,9
79,650,79,637,822,10
80,650,80,638,781,9
81,650,81,629,800,9
82,650,82,648,842,11
83,650,83,627,823,10
84,650,84,634,783,9
85,650,85,659,838,11
86,650,86,652,839,11
87,650,87,634,801,9
88,650,88,632,816,10
89,650,89,634,812,10
90,650,90,647,829,10
91,650,91,638,803,9
92,650,92,610,805,9
93,650,93,647,841,11
94,650,94,635,815,10
95,650,95,630,793,9
96,650,96,642,809,10
97,650,97,619,834,10
98,650,98,671,844,11
99,650,99,659,821,10
100,650,100,645,827,10
101,650,101,629,822,10
102,650,102,624,810,10
103,650,103,629,837,10
104,650,104,599,811,10
105,650,105,609,811,10
106,650,106,638,795,9
107,650,107,630,813,10
108,650,108,621,812,10
109,650,109,618,815,10
110,650,110,624,839,11
111,650,111,663,792,9
112,650,112,620,817,10
113,650,113,632,863,11
114,650,114,601,792,9
115,650,115,630,810,10
116,650,116,639,833,10
117,650,117,629,810,10
118,650,118,601,809,10
119,650,119,626,815,10
120,650,120,625,840,11
121,650,121,625,866,11
122,650,122,663,816,10
123,650,123,634,831,10
124,650,124,633,815,10
125,650,125,643,827,10
126,650,126,629,821,10
127,650,127,637,817,10
128,650,128,605,780,9
129,650,129,635,847,11
130,650,130,638,838,11
131,650,131,633,811,10
132,650,132,647,841,11
133,650,133,648,823,10
134,650,134,659,843,11
135,650,135,632,839,11
136,650,136,618,839,11
137,650,137,603,809,10
138,650,138,620,839,11
139,650,139,641,828,10
140,650,140,631,820,10
141,650,141,629,819,10
142,650,142,621,803,9
143,650,143,609,790,9
144,650,144,621,827,10
145,650,145,596,839,11
146,650,146,630,809,10
147,650,147,659,852,11
148,650,148,634,839,11
149,650,149,616,803,9
150,650,150,645,839,11
151,650,151,641,844,11
152,650,152,626,799,9
153,650,153,627,810,10
154,650,154,671,850,11
155,650,155,608,813,10
156,650,156,624,801,9
157,650,157,678,868,12
158,650,158,614,822,10
159,650,159,637,812,10
160,650,160,626,840,11
161,650,161,641,848,11
162,650,162,611,836,10
163,650,163,625,839,11
164,650,164,647,847,11
165,650,165,619,806,9
166,650,166,659,809,10
167,650,167,632,814,10
168,650,168,596,813,10
169,650,169,633,785,9
170,650,170,644,812,10
171,650,171,613,811,10
172,650,172,623,804,9
173,650,173,650,817,10
174,650,174,642,816,10
175,650,175,619,841,11
176,650,176,596,838,11
177,650,177,638,810,10
178,650,178,617,807,9
179,650,179,631,819,10
180,650,180,659,849,11
181,650,181,614,801,9
182,650,182,620,820,10
183,650,183,626,809,10
184,650,184,649,823,10
185,650,185,629,809,10
186,650,186,655,834,10
187,650,187,659,813,10
188,650,188,638,791,9
189,650,189,644,821,10
190,650,190,610,807,9
191,650,191,660,842,11
192,650,192,642,839,11
193,650,193,634,785,9
194,650,194,627,806,9
195,650,195,629,825,10
196,650,196,621,840,11
197,650,197,626,809,10
198,650,198,605,823,10
199,650,199,619,827,10
