,num_chunks,times,w1_drop_num,w2_drop_num,feedback_num
0,800,0,805,965,11
1,800,1,745,953,10
2,800,2,761,1015,12
3,800,3,785,989,12
4,800,4,767,970,11
5,800,5,751,993,12
6,800,6,783,989,12
7,800,7,773,991,12
8,800,8,762,991,12
9,800,9,786,1009,12
10,800,10,768,988,12
11,800,11,732,985,11
12,800,12,779,989,12
13,800,13,790,989,12
14,800,14,786,995,12
15,800,15,752,966,11
16,800,16,778,973,11
17,800,17,772,992,12
18,800,18,760,988,12
19,800,19,779,1001,12
20,800,20,743,993,12
21,800,21,760,974,11
22,800,22,756,989,12
23,800,23,765,992,12
24,800,24,780,970,11
25,800,25,782,985,11
26,800,26,783,968,11
27,800,27,742,959,11
28,800,28,735,961,11
29,800,29,780,979,11
30,800,30,775,991,12
31,800,31,767,972,11
32,800,32,753,989,12
33,800,33,780,989,12
34,800,34,753,960,11
35,800,35,770,991,12
36,800,36,746,962,11
37,800,37,769,998,12
38,800,38,767,991,12
39,800,39,786,1029,13
40,800,40,749,962,11
41,800,41,741,974,11
42,800,42,763,1023,13
43,800,43,749,989,12
44,800,44,753,971,11
45,800,45,758,991,12
46,800,46,746,991,12
47,800,47,812,997,12
48,800,48,775,998,12
49,800,49,757,965,11
50,800,50,771,963,11
51,800,51,780,1019,13
52,800,52,759,952,10
53,800,53,762,977,11
54,800,54,750,968,11
55,800,55,774,996,12
56,800,56,746,997,12
57,800,57,752,989,12
58,800,58,758,984,11
59,800,59,760,969,11
60,800,60,761,992,12
61,800,61,781,1019,13
62,800,62,782,933,10
63,800,63,722,989,12
64,800,64,775,980,11
65,800,65,769,960,11
66,800,66,752,1003,12
67,800,67,760,959,11
68,800,68,783,966,11
69,800,69,758,959,11
70,800,70,764,972,11
71,800,71,761,1001,12
72,800,72,785,962,11
73,800,73,755,974,11
74,800,74,756,1006,12
75,800,75,755,982,11
76,800,76,742,990,12
77,800,77,763,960,11
78,800,78,760,981,11
79,800,79,736,983,11
80,800,80,768,990,12
81,800,81,782,989,12
82,800,82,756,1012,12
83,800,83,768,997,12
84,800,84,767,987,11
85,800,85,782,984,11
86,800,86,758,994,12
87,800,87,739,991,12
88,800,88,745,939,10
89,800,89,761,1017,12
90,800,90,734,989,12
91,800,91,767,990,12
92,800,92,778,968,11
93,800,93,725,960,11
94,800,94,779,966,11
95,800,95,769,948,10
96,800,96,787,989,12
97,800,97,773,990,12
98,800,98,756,980,11
99,800,99,766,989,12
100,800,100,772,967,11
101,800,101,742,942,10
102,800,102,756,979,11
103,800,103,759,965,11
104,800,104,740,1019,13
105,800,105,762,982,11
106,800,106,779,1011,12
107,800,107,758,976,11
108,800,108,772,999,12
109,800,109,751,968,11
110,800,110,756,976,11
111,800,111,762,987,11
112,800,112,736,1019,13
113,800,113,740,989,12
114,800,114,757,989,12
115,800,115,748,997,12
116,800,116,739,970,11
117,800,117,776,999,12
118,800,118,759,989,12
119,800,119,767,976,11
120,800,120,726,960,11
121,800,121,739,961,11
122,800,122,773,997,12
123,800,123,766,991,12
124,800,124,727,947,10
125,800,125,733,989,12
126,800,126,749,1011,12
127,800,127,771,963,11
128,800,128,755,964,11
129,800,129,797,991,12
130,800,130,752,1002,12
131,800,131,745,991,12
132,800,132,763,989,12
133,800,133,783,995,12
134,800,134,800,993,12
135,800,135,763,992,12
136,800,136,748,965,11
137,800,137,766,988,12
138,800,138,722,969,11
139,800,139,757,970,11
140,800,140,790,982,11
141,800,141,747,975,11
142,800,142,740,972,11
143,800,143,743,1022,13
144,800,144,763,1019,13
145,800,145,754,956,10
146,800,146,768,994,12
147,800,147,752,989,12
148,800,148,729,959,11
149,800,149,754,964,11
150,800,150,767,989,12
151,800,151,798,1025,13
152,800,152,789,997,12
153,800,153,751,974,11
154,800,154,723,958,11
155,800,155,773,993,12
156,800,156,761,1018,13
157,800,157,784,959,11
158,800,158,754,959,11
159,800,159,771,976,11
160,800,160,751,996,12
161,800,161,752,956,10
162,800,162,745,990,12
163,800,163,744,978,11
164,800,164,768,1014,12
165,800,165,753,989,12
166,800,166,764,991,12
167,800,167,727,943,10
168,800,168,743,999,12
169,800,169,742,962,11
170,800,170,742,981,11
171,800,171,763,1019,13
172,800,172,762,989,12
173,800,173,781,949,10
174,800,174,740,961,11
175,800,175,751,964,11
176,800,176,768,967,11
177,800,177,780,998,12
178,800,178,730,968,11
179,800,179,774,993,12
180,800,180,734,959,11
181,800,181,741,991,12
182,800,182,742,985,11
183,800,183,754,948,10
184,800,184,763,985,11
185,800,185,763,994,12
186,800,186,810,981,11
187,800,187,739,967,11
188,800,188,776,997,12
189,800,189,783,945,10
190,800,190,780,991,12
191,800,191,752,989,12
192,800,192,753,942,10
193,800,193,756,960,11
194,800,194,801,989,12
195,800,195,788,992,12
196,800,196,768,998,12
197,800,197,789,989,12
198,800,198,752,977,11
199,800,199,750,972,11
