,K,avgs,feedback_packet_avgs
0,100,119.17,4.55
1,123,142.78,5.1
2,150,172.75,5.9
3,200,225.6,7.2
4,250,276.96,8.38
5,300,330.13,9.7
6,350,380.98,10.72
7,400,430.79,11.75
8,450,484.45,13.12
9,500,534.21,14.13
10,550,586.58,15.31
11,600,636.88,16.4
12,650,687.79,17.42
13,700,738.64,18.54
14,750,790.15,19.67
15,800,840.4,20.71
16,850,892.08,21.9
17,900,941.22,22.79
18,950,991.33,23.82
19,1000,1042.88,24.97
