,per,avg_send_drops,avg_recv_drops,feedback_packet_avgs
0,0,193.766,193.766,1.633
0,0.01,195.55,193.605,1.655
1,0.02,198.72,195.085,1.7
2,0.03,200.47,194.545,1.7
3,0.04,201.47,192.31,1.765
4,0.05,205.51,194.19,1.755
5,0.06,206.7,194.515,1.81
6,0.07,207.59,192.465,1.73
7,0.08,207.405,190.93,1.785
8,0.09,208.855,190.1,1.74
9,0.1,212.16,191.075,1.775
10,0.125,215.445,189.49,1.795
11,0.15,223.945,190.295,1.86
12,0.175,231.14,190.06,1.87
13,0.2,237.805,190.98,1.885
14,0.225,246.46,189.995,1.97
15,0.25,248.025,185.625,1.87
16,0.275,257.14,185.9,2.025
17,0.3,264.75,185.165,1.92
18,0.325,276.835,186.985,2.08
19,0.35,284.65,184.5,2.06
20,0.375,293.055,182.955,2.1
21,0.4,304.325,182.265,2.16
22,0.425,315.75,181.75,2.18
23,0.45,329.885,181.905,2.19
24,0.475,340.925,179.26,2.405
25,0.5,354.875,178.23,2.42
