,psnr,size,file_list
46,-22.39405462212506,0.47,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_47_100.bmp
47,-22.260048391486844,0.48,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_48_100.bmp
48,-22.105512307988924,0.49,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_49_100.bmp
49,-21.945063826273685,0.5,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_50_100.bmp
50,-21.804681103276376,0.51,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_51_100.bmp
51,-21.73718101834143,0.52,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_52_100.bmp
52,-21.67772350895899,0.53,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_53_100.bmp
53,-21.627675275664316,0.54,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_54_100.bmp
54,-21.55110858646735,0.55,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_55_100.bmp
55,-21.408216247425432,0.56,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_56_100.bmp
56,-21.329278518289144,0.57,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_57_100.bmp
57,-21.271261802381815,0.58,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_58_100.bmp
58,0.0,0.0, 
59,0.0,0.0, 
60,-20.684331384104336,0.61,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_61_100.bmp
61,-20.494043951191195,0.62,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_62_100.bmp
62,-20.332923842190777,0.63,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_63_100.bmp
63,0.0,0.0, 
64,-20.173852509733084,0.65,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_65_100.bmp
65,0.0,0.0, 
66,-19.995019372304043,0.67,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_67_100.bmp
67,-19.880733348931674,0.68,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_68_100.bmp
68,-19.758008985420883,0.69,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_69_100.bmp
69,0.0,0.0, 
70,-19.533168692100716,0.71,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_71_100.bmp
71,-19.444458608274964,0.72,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_72_100.bmp
72,-19.3929042134778,0.73,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_73_100.bmp
73,-19.271114198637427,0.74,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_74_100.bmp
74,-19.159845133964247,0.75,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_75_100.bmp
75,-19.07564501759619,0.76,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_76_100.bmp
76,-18.984174391014502,0.77,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_77_100.bmp
77,0.0,0.0, 
78,-18.775920295897215,0.79,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_79_100.bmp
79,0.0,0.0, 
80,0.0,0.0, 
81,-18.318910694660843,0.82,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_82_100.bmp
82,-18.137735665428835,0.83,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_83_100.bmp
83,-18.05886108011771,0.84,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_84_100.bmp
84,0.0,0.0, 
85,-17.84409802836638,0.86,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_86_100.bmp
86,0.0,0.0, 
87,-17.60760470412222,0.88,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_88_100.bmp
88,-17.44759832852744,0.89,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_89_100.bmp
89,-17.31706899704836,0.9,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_90_100.bmp
90,0.0,0.0, 
91,-16.980243139859397,0.92,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_92_100.bmp
92,-16.883412558831953,0.93,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_93_100.bmp
93,0.0,0.0, 
94,-16.64246555967547,0.95,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_95_100.bmp
95,0.0,0.0, 
96,-16.452253335992644,0.97,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_97_100.bmp
97,0.0,0.0, 
98,-16.251242302283828,0.99,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_99_100.bmp
99,-16.164894448334753,1.0,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_100_100.bmp
