,num_chunks,times,send_drop_used,recv_drop_used
264,0.01,264,135,134
265,0.01,265,115,115
266,0.01,266,135,134
267,0.01,267,137,135
268,0.01,268,135,134
269,0.01,269,135,134
270,0.01,270,136,134
271,0.01,271,129,128
272,0.01,272,115,115
273,0.01,273,141,137
274,0.01,274,137,135
275,0.01,275,115,115
276,0.01,276,135,134
277,0.01,277,115,115
278,0.01,278,135,134
279,0.01,279,139,136
280,0.01,280,139,136
281,0.01,281,137,135
282,0.01,282,115,115
283,0.01,283,135,134
284,0.01,284,138,135
285,0.01,285,135,134
286,0.01,286,135,134
287,0.01,287,140,136
288,0.01,288,138,135
289,0.01,289,115,115
290,0.01,290,137,135
291,0.01,291,115,115
292,0.01,292,136,134
293,0.01,293,134,133
294,0.01,294,135,134
295,0.01,295,136,134
296,0.01,296,137,135
297,0.01,297,135,134
298,0.01,298,115,115
299,0.01,299,115,115
300,0.01,300,115,115
301,0.01,301,136,134
302,0.01,302,138,135
303,0.01,303,115,115
304,0.01,304,115,115
305,0.01,305,136,134
306,0.01,306,139,136
307,0.01,307,135,134
308,0.01,308,135,134
309,0.01,309,137,135
310,0.01,310,139,136
311,0.01,311,136,134
312,0.01,312,135,134
313,0.01,313,115,115
314,0.01,314,115,115
315,0.01,315,141,137
316,0.01,316,139,136
317,0.01,317,135,134
318,0.01,318,136,134
319,0.01,319,139,136
320,0.01,320,137,135
321,0.01,321,115,115
322,0.01,322,139,136
323,0.01,323,137,135
324,0.01,324,137,135
325,0.01,325,135,134
326,0.01,326,136,134
327,0.01,327,115,115
328,0.01,328,137,135
329,0.01,329,116,115
330,0.01,330,140,136
331,0.01,331,115,115
332,0.01,332,115,115
333,0.01,333,137,135
334,0.01,334,137,135
335,0.01,335,130,129
336,0.01,336,135,134
337,0.01,337,140,136
338,0.01,338,135,134
339,0.01,339,138,135
340,0.01,340,115,115
341,0.01,341,139,136
342,0.01,342,138,135
343,0.01,343,139,136
344,0.01,344,137,134
345,0.01,345,137,135
346,0.01,346,115,115
347,0.01,347,137,135
348,0.01,348,115,115
349,0.01,349,137,135
350,0.01,350,115,115
351,0.01,351,118,117
352,0.01,352,115,115
353,0.01,353,139,136
354,0.01,354,139,136
355,0.01,355,135,134
356,0.01,356,135,134
357,0.01,357,129,127
358,0.01,358,135,134
359,0.01,359,137,135
360,0.01,360,135,134
361,0.01,361,136,134
362,0.01,362,135,134
363,0.01,363,135,134
364,0.01,364,135,134
365,0.01,365,115,115
366,0.01,366,115,115
367,0.01,367,135,134
368,0.01,368,115,115
369,0.01,369,115,115
370,0.01,370,135,134
371,0.01,371,115,115
372,0.01,372,141,136
373,0.01,373,115,115
374,0.01,374,137,135
375,0.01,375,135,134
376,0.01,376,137,135
377,0.01,377,139,136
378,0.01,378,115,115
379,0.01,379,135,134
380,0.01,380,137,135
381,0.01,381,117,116
382,0.01,382,136,134
383,0.01,383,115,115
384,0.01,384,137,135
385,0.01,385,135,134
386,0.01,386,135,134
387,0.01,387,115,115
388,0.01,388,115,115
389,0.01,389,136,134
390,0.01,390,119,118
391,0.01,391,141,136
392,0.01,392,136,134
393,0.01,393,137,135
394,0.01,394,135,134
395,0.01,395,115,115
396,0.01,396,135,134
397,0.01,397,115,115
398,0.01,398,115,115
399,0.01,399,115,115
400,0.01,400,135,134
401,0.01,401,137,135
402,0.01,402,135,134
403,0.01,403,142,138
404,0.01,404,135,134
405,0.01,405,135,134
406,0.01,406,135,134
407,0.01,407,135,134
408,0.01,408,137,135
409,0.01,409,135,134
410,0.01,410,136,134
411,0.01,411,115,115
412,0.01,412,137,135
413,0.01,413,135,134
414,0.01,414,115,115
415,0.01,415,139,136
416,0.01,416,115,115
417,0.01,417,138,135
418,0.01,418,134,131
419,0.01,419,140,136
420,0.01,420,135,134
421,0.01,421,135,134
422,0.01,422,137,135
423,0.01,423,115,115
424,0.01,424,128,127
