,K,avgs,feedback_packet_avgs
0,100,119.57,4.63
1,123,144.79,5.34
2,150,173.23,6.0
3,200,225.28,7.21
4,250,277.24,8.38
5,300,329.69,9.63
6,350,380.46,10.74
7,400,432.0,11.89
8,450,484.81,13.16
9,500,536.24,14.28
10,550,586.38,15.3
11,600,637.34,16.35
12,650,688.02,17.51
13,700,738.02,18.43
14,750,789.26,19.59
15,800,839.57,20.62
16,850,890.29,21.71
17,900,941.66,22.81
18,950,991.64,23.85
19,1000,1042.71,24.96
