,K,avgs,feedback_packet_avgs
0,100,119.55,4.54
1,123,144.75,5.02
2,150,175.02,5.63
3,200,228.71,6.39
4,250,282.53,7.18
5,300,335.54,7.78
6,350,388.55,8.34
7,400,441.5,9.01
8,450,494.08,9.49
9,500,547.17,10.1
10,550,599.42,10.52
11,600,650.76,10.84
12,650,704.77,11.65
13,700,755.26,11.66
14,750,806.96,12.09
15,800,860.31,12.73
16,850,911.47,12.97
17,900,962.69,13.21
18,950,1014.33,13.6
19,1000,1068.76,14.43
