,K,avgs,feedback_packet_avgs
0,50,86.23,1.24
1,100,156.37,1.59
2,150,223.12,1.97
3,200,281.86,2.22
4,250,350.97,2.71
5,300,407.75,2.91
6,350,466.05,3.13
7,400,521.7,3.51
8,450,583.55,3.88
9,500,630.17,4.09
10,550,693.52,4.42
11,600,757.0,4.69
12,650,811.53,4.99
13,700,869.77,5.21
14,750,915.07,5.52
15,800,975.88,5.62
16,850,1030.64,6.07
17,900,1096.46,6.12
18,950,1149.35,6.47
19,1000,1198.28,6.72
