,w1_pro,times,w1_drops_used,w2_drops_used
0,0.3,0,164,164
1,0.3,1,174,181
2,0.3,2,160,160
3,0.3,3,183,200
4,0.3,4,147,147
5,0.3,5,152,152
6,0.3,6,173,173
7,0.3,7,181,181
8,0.3,8,170,174
9,0.3,9,153,227
10,0.3,10,190,190
11,0.3,11,162,208
12,0.3,12,170,170
13,0.3,13,195,195
14,0.3,14,169,169
15,0.3,15,180,180
16,0.3,16,155,155
17,0.3,17,160,160
18,0.3,18,203,203
19,0.3,19,173,173
20,0.3,20,169,197
21,0.3,21,164,175
22,0.3,22,167,167
23,0.3,23,178,178
24,0.3,24,156,167
25,0.3,25,183,183
26,0.3,26,160,160
27,0.3,27,162,162
28,0.3,28,163,163
29,0.3,29,176,176
30,0.3,30,172,172
31,0.3,31,151,151
32,0.3,32,161,161
33,0.3,33,170,170
34,0.3,34,175,175
35,0.3,35,186,186
36,0.3,36,157,157
37,0.3,37,165,165
38,0.3,38,147,147
39,0.3,39,157,218
40,0.3,40,166,166
41,0.3,41,158,158
42,0.3,42,160,160
43,0.3,43,161,161
44,0.3,44,151,151
45,0.3,45,141,218
46,0.3,46,173,173
47,0.3,47,142,171
48,0.3,48,162,215
49,0.3,49,140,194
50,0.3,50,144,144
51,0.3,51,152,185
52,0.3,52,167,167
53,0.3,53,181,181
54,0.3,54,194,194
55,0.3,55,176,176
56,0.3,56,196,196
57,0.3,57,144,183
58,0.3,58,168,168
59,0.3,59,161,161
60,0.3,60,162,162
61,0.3,61,155,155
62,0.3,62,194,194
63,0.3,63,154,154
64,0.3,64,159,289
65,0.3,65,163,163
66,0.3,66,147,147
67,0.3,67,143,147
68,0.3,68,181,181
69,0.3,69,172,187
70,0.3,70,143,198
71,0.3,71,131,192
72,0.3,72,133,270
73,0.3,73,141,170
74,0.3,74,157,162
75,0.3,75,132,147
76,0.3,76,193,193
77,0.3,77,152,152
78,0.3,78,158,158
79,0.3,79,154,154
80,0.3,80,175,175
81,0.3,81,183,183
82,0.3,82,160,160
83,0.3,83,152,152
84,0.3,84,175,175
85,0.3,85,220,220
86,0.3,86,174,174
87,0.3,87,181,211
88,0.3,88,184,184
89,0.3,89,140,193
90,0.3,90,136,146
91,0.3,91,169,169
92,0.3,92,167,167
93,0.3,93,192,225
94,0.3,94,182,182
95,0.3,95,155,242
96,0.3,96,162,162
97,0.3,97,173,173
98,0.3,98,136,178
99,0.3,99,214,214
,,,16524,17774
