,w1_pro,w1_avgs,w2_avgs
0,0,168.45,168.45
1,0.1,167.37,167.49
2,0.2,167.49,169.17
3,0.3,165.24,177.74
4,0.4,161.4,194.27
5,0.5,153.66,227.35
6,0.6,141.24,288.03
7,0.7,133.95,380.29
8,0.8,125,541.85
9,0.9,116.86,1039.55
