,num_chunks,times,send_drop_used,recv_drop_used
0,650,0,1721,1549
1,650,1,2373,2138
2,650,2,1887,1699
3,650,3,2355,2119
4,650,4,1835,1654
5,650,5,1939,1744
6,650,6,1927,1733
7,650,7,2550,2295
8,650,8,1648,1483
9,650,9,2584,2326
10,650,10,2326,2086
11,650,11,2061,1850
12,650,12,1769,1593
13,650,13,1905,1715
14,650,14,1795,1615
15,650,15,1903,1714
16,650,16,2219,1996
17,650,17,2400,2166
18,650,18,1875,1690
19,650,19,2561,2305
20,650,20,1634,1469
21,650,21,2315,2084
22,650,22,1999,1800
23,650,23,1940,1747
24,650,24,2563,2307
25,650,25,2557,2304
26,650,26,2135,1925
27,650,27,1876,1689
28,650,28,1795,1615
29,650,29,1811,1629
30,650,30,1699,1528
31,650,31,2907,2616
32,650,32,1796,1621
33,650,33,1772,1593
34,650,34,1918,1727
35,650,35,1772,1594
36,650,36,2192,1970
37,650,37,2402,2161
38,650,38,2402,2159
39,650,39,1938,1746
40,650,40,3225,2903
41,650,41,2251,2032
42,650,42,1902,1713
43,650,43,2291,2058
44,650,44,1697,1529
45,650,45,1599,1448
46,650,46,1857,1667
47,650,47,1821,1638
48,650,48,1948,1753
49,650,49,2201,1984
50,650,50,2139,1919
51,650,51,1928,1735
52,650,52,2766,2491
53,650,53,1975,1779
54,650,54,2477,2228
55,650,55,1948,1753
56,650,56,2468,2218
57,650,57,2184,1968
58,650,58,1772,1593
59,650,59,1769,1589
60,650,60,1852,1666
61,650,61,1795,1613
62,650,62,2548,2293
63,650,63,2419,2177
64,650,64,2161,1949
65,650,65,1918,1729
66,650,66,1976,1776
67,650,67,1926,1735
68,650,68,2528,2272
69,650,69,2596,2336
70,650,70,1900,1708
71,650,71,2657,2394
72,650,72,2587,2329
73,650,73,2938,2643
74,650,74,1877,1690
75,650,75,1946,1752
76,650,76,2585,2325
77,650,77,2348,2111
78,650,78,2008,1807
79,650,79,2491,2242
80,650,80,3182,2865
81,650,81,1909,1723
82,650,82,1820,1634
83,650,83,2446,2206
84,650,84,1829,1645
85,650,85,2503,2253
86,650,86,1862,1677
87,650,87,1835,1649
88,650,88,2028,1827
89,650,89,2383,2147
90,650,90,2304,2074
91,650,91,2594,2334
92,650,92,2396,2155
93,650,93,1896,1704
94,650,94,3036,2739
95,650,95,2269,2038
96,650,96,2119,1910
97,650,97,1830,1641
98,650,98,1841,1658
99,650,99,1929,1736
