,K,avg_send_drops,avg_recv_drops
0,50,110.69,99.81
1,100,241.96,217.83
2,150,402.89,362.73
3,200,552.42,497.29
4,250,736.58,663.08
5,300,892.58,803.01
6,350,1044.97,940.45
7,400,1257.75,1132.46
8,450,1386.88,1248.03
9,500,1544.29,1389.77
10,550,1793.83,1614.05
11,600,1923.92,1731.61
12,650,2143.41,1929.14
13,700,2359.85,2124.55
14,750,2522.91,2270.79
15,800,2627.17,2364.23
16,850,2870.82,2583.47
17,900,3147.23,2832.28
18,950,3336.17,3001.69
19,1000,3446.81,3102.6
