,K,w1_avg_drops,w2_avg_drops,feedback_packet_avgs
0,50,64.715,105.24,2.545
1,100,119.035,179.015,4.0
2,150,168.37,245.55,5.24
3,200,218.375,308.605,6.305
4,250,264.505,369.775,7.375
5,300,307.535,427.545,8.285
6,350,355.305,486.695,9.245
7,400,400.92,541.975,10.09
8,450,444.425,597.885,10.935
9,500,487.255,652.03,11.81
10,550,531.15,705.89,12.53
11,600,576.735,763.09,13.485
12,650,616.765,814.875,14.165
13,700,662.235,869.68,15.05
14,750,703.64,926.48,15.93
15,800,746.755,978.585,16.655
16,850,790.95,1031.895,17.445
17,900,835.19,1082.775,18.14
18,950,871.73,1136.625,18.935
19,1000,920.835,1191.865,19.81
