,K,avg_send_drops,avg_recv_drops
0,50,87.224,83.769
1,100,192.058,184.412
2,150,302.341,290.312
3,200,417.67,400.991
4,250,539.81,518.263
5,300,660.117,633.786
6,350,783.043,751.699
7,400,904.342,868.202
8,450,1030.92,989.716
9,500,1159.495,1113.085
10,550,1303.25,1251.21
11,600,1427.711,1370.516
12,650,1576.41,1513.428
13,700,1714.659,1646.128
14,750,1829.858,1756.645
15,800,1997.27,1917.489
16,850,2142.53,2056.803
17,900,2272.547,2181.684
18,950,2412.333,2315.836
19,1000,2575.579,2472.648
