,num_chunks,times,send_drop_used,recv_drop_used
0,600,0,662,639
1,600,1,653,633
2,600,2,661,638
3,600,3,668,641
4,600,4,633,625
5,600,5,686,656
6,600,6,684,654
7,600,7,669,647
8,600,8,683,652
9,600,9,678,653
10,600,10,661,642
11,600,11,657,639
12,600,12,659,637
13,600,13,663,639
14,600,14,665,640
15,600,15,659,641
16,600,16,698,665
17,600,17,662,638
18,600,18,680,648
19,600,19,677,647
20,600,20,662,639
21,600,21,670,642
22,600,22,678,651
23,600,23,679,656
24,600,24,652,635
25,600,25,676,646
26,600,26,681,650
27,600,27,660,637
28,600,28,668,641
29,600,29,680,652
30,600,30,668,641
31,600,31,659,637
32,600,32,668,642
33,600,33,675,648
34,600,34,689,662
35,600,35,679,651
36,600,36,693,661
37,600,37,676,649
38,600,38,659,638
39,600,39,690,657
40,600,40,702,667
41,600,41,670,643
42,600,42,657,637
43,600,43,680,646
44,600,44,678,653
45,600,45,667,645
46,600,46,658,638
47,600,47,685,658
48,600,48,662,639
49,600,49,684,653
50,600,50,705,668
51,600,51,679,655
52,600,52,672,650
53,600,53,672,643
54,600,54,683,651
55,600,55,676,645
56,600,56,662,642
57,600,57,669,642
58,600,58,679,648
59,600,59,692,659
60,600,60,649,633
61,600,61,657,638
62,600,62,671,648
63,600,63,663,639
64,600,64,676,646
65,600,65,667,641
66,600,66,672,643
67,600,67,687,658
68,600,68,689,658
69,600,69,687,661
70,600,70,658,637
71,600,71,664,640
72,600,72,667,642
73,600,73,687,659
74,600,74,700,666
75,600,75,652,633
76,600,76,651,634
77,600,77,668,641
78,600,78,695,660
79,600,79,676,644
80,600,80,705,663
81,600,81,697,664
82,600,82,684,653
83,600,83,698,665
84,600,84,670,643
85,600,85,661,639
86,600,86,672,647
87,600,87,690,661
88,600,88,684,656
89,600,89,702,665
90,600,90,664,639
91,600,91,664,638
92,600,92,674,645
93,600,93,667,643
94,600,94,661,641
95,600,95,696,663
96,600,96,681,654
97,600,97,696,663
98,600,98,689,661
99,600,99,667,640
100,600,100,671,644
101,600,101,665,640
102,600,102,689,661
103,600,103,660,638
104,600,104,672,650
105,600,105,681,657
106,600,106,664,641
107,600,107,675,648
108,600,108,667,641
109,600,109,667,642
110,600,110,669,644
111,600,111,672,648
112,600,112,661,643
113,600,113,670,649
114,600,114,679,652
115,600,115,687,660
116,600,116,670,647
117,600,117,686,660
118,600,118,665,638
119,600,119,671,647
120,600,120,668,641
121,600,121,654,636
122,600,122,694,663
123,600,123,699,666
124,600,124,680,647
125,600,125,695,664
126,600,126,675,649
127,600,127,654,635
128,600,128,673,646
129,600,129,674,645
130,600,130,669,644
131,600,131,675,647
132,600,132,698,667
133,600,133,653,635
134,600,134,681,655
135,600,135,670,646
136,600,136,703,664
137,600,137,666,639
138,600,138,674,646
139,600,139,671,642
140,600,140,674,644
141,600,141,672,646
142,600,142,657,637
143,600,143,702,665
144,600,144,660,637
145,600,145,671,643
146,600,146,681,647
147,600,147,702,666
148,600,148,661,642
149,600,149,658,637
150,600,150,678,646
151,600,151,662,639
152,600,152,701,667
153,600,153,662,640
154,600,154,677,647
155,600,155,670,643
156,600,156,669,641
157,600,157,672,647
158,600,158,665,641
159,600,159,671,641
160,600,160,661,637
161,600,161,684,659
162,600,162,697,654
163,600,163,672,643
164,600,164,675,644
165,600,165,715,673
166,600,166,670,646
167,600,167,655,635
168,600,168,657,637
169,600,169,678,652
170,600,170,666,640
171,600,171,667,641
172,600,172,695,662
173,600,173,683,653
174,600,174,673,644
175,600,175,657,637
176,600,176,690,659
177,600,177,695,662
178,600,178,676,648
179,600,179,661,639
180,600,180,679,652
181,600,181,684,657
182,600,182,672,647
183,600,183,682,656
184,600,184,670,644
185,600,185,674,653
186,600,186,696,663
187,600,187,668,641
188,600,188,666,640
189,600,189,664,643
190,600,190,676,652
191,600,191,673,643
192,600,192,669,642
193,600,193,683,650
194,600,194,694,664
195,600,195,690,659
196,600,196,660,639
197,600,197,675,651
198,600,198,666,640
199,600,199,661,639
200,600,200,665,639
201,600,201,666,645
202,600,202,663,640
203,600,203,696,663
204,600,204,662,639
205,600,205,661,638
206,600,206,686,656
207,600,207,689,659
208,600,208,657,636
209,600,209,690,661
210,600,210,658,638
211,600,211,665,641
212,600,212,653,635
213,600,213,668,642
214,600,214,694,658
215,600,215,659,637
216,600,216,663,640
217,600,217,674,644
218,600,218,663,638
219,600,219,686,660
220,600,220,699,665
221,600,221,671,646
222,600,222,662,639
223,600,223,651,634
224,600,224,656,636
225,600,225,665,641
226,600,226,661,638
227,600,227,647,632
228,600,228,654,635
229,600,229,680,651
230,600,230,673,647
231,600,231,693,663
232,600,232,679,647
233,600,233,657,637
234,600,234,664,642
235,600,235,666,641
236,600,236,672,648
237,600,237,682,655
238,600,238,665,641
239,600,239,687,659
240,600,240,673,648
241,600,241,654,635
242,600,242,694,663
243,600,243,675,643
244,600,244,657,637
245,600,245,658,637
246,600,246,664,638
247,600,247,668,642
248,600,248,693,657
249,600,249,656,635
250,600,250,679,652
251,600,251,667,640
252,600,252,684,656
253,600,253,653,634
254,600,254,672,649
255,600,255,665,641
256,600,256,677,646
257,600,257,664,642
258,600,258,689,661
259,600,259,695,664
260,600,260,683,655
261,600,261,673,645
262,600,262,670,642
263,600,263,677,651
264,600,264,678,652
265,600,265,681,653
266,600,266,704,667
267,600,267,672,647
268,600,268,658,637
269,600,269,667,642
