,K,avg_send_drops,avg_recv_drops
0,50,68.587,65.881
1,100,126.623,121.578
2,150,181.564,174.314
3,200,235.89,226.561
4,250,291.087,279.302
5,300,345.423,331.649
6,350,400.543,384.433
7,400,455.226,437.094
8,450,510.089,489.828
9,500,565.045,542.462
10,550,620.557,595.61
11,600,674.893,648.131
12,650,730.635,701.38
13,700,784.826,753.484
14,750,840.564,806.866
15,800,895.409,859.357
16,850,949.675,911.76
17,900,1005.515,965.058
18,950,1058.651,1016.403
19,1000,1114.621,1069.905
