,K,avgs,feedback_packet_avgs
0,50,105.21,2.23
1,100,176.89,3.22
2,150,240.95,4.07
3,200,305.8,4.9
4,250,363.04,5.45
5,300,424.97,6.19
6,350,484.04,6.87
7,400,541.53,7.41
8,450,597.5,7.97
9,500,651.65,8.44
10,550,709.77,9.0
11,600,761.91,9.48
12,650,820.68,10.1
13,700,873.75,10.45
14,750,926.7,10.96
15,800,978.6,11.35
16,850,1031.92,11.74
17,900,1087.92,12.29
18,950,1144.49,12.9
19,1000,1195.42,13.23
