,K,avgs,feedback_packet_avgs
0,100,132.31,2.77
1,150,190.3,3.48
2,200,244.21,4.09
3,250,297.7,4.56
4,300,352.72,5.24
5,350,406.67,5.74
6,400,456.2,6.13
7,450,510.58,6.73
8,500,561.54,7.18
9,550,615.74,7.7
10,600,666.01,8.13
11,650,719.24,8.64
12,700,767.35,9.01
13,750,822.13,9.63
14,800,872.3,9.97
15,850,925.43,10.46
16,900,974.84,10.89
17,950,1026.16,11.33
18,1000,1079.02,11.85
