,K,avgs,feedback_packet_avgs
0,50,71.33,2.15
1,100,127.68,3.03
2,150,183.75,3.91
3,200,237.77,4.54
4,250,291.13,5.18
5,300,343.71,5.84
6,350,397.26,6.48
7,400,449.82,7.1
8,450,502.5,7.72
9,500,553.96,8.29
10,550,606.79,9.01
11,600,657.99,9.49
12,650,710.53,10.18
13,700,761.34,10.68
14,750,813.39,11.33
15,800,866.42,11.99
16,850,918.26,12.53
17,900,969.76,13.11
18,950,1021.55,13.72
19,1000,1071.87,14.2
