,K,avgs,feedback_packet_avgs
0,50,64.39,3.11
1,100,120.49,4.71
2,123,144.34,5.28
3,150,174.52,6.06
4,200,227.65,7.4
5,250,279.94,8.63
6,300,333.63,10.02
7,350,386.14,11.3
8,400,437.98,12.39
9,450,489.96,13.63
10,500,540.37,14.66
11,550,594.3,16.11
12,600,645.78,17.19
13,650,696.49,18.27
14,700,750.01,19.64
15,750,799.99,20.64
16,800,852.47,21.92
17,850,903.12,22.94
18,900,954.87,24.11
19,950,1006.07,25.19
20,1000,1056.77,26.3
