,K,w1_avg_drops,w2_avg_drops,feedback_packet_avgs
0,50,64.445,102.98,2.29
1,100,117.185,177.615,3.575
2,150,168.905,243.965,4.64
3,200,217.425,306.71,5.61
4,250,263.035,366.425,6.41
5,300,308.82,426.53,7.27
6,350,354.905,483.39,7.97
7,400,402.605,540.445,8.705
8,450,446.3,597.915,9.47
9,500,490.48,650.94,10.095
10,550,534.24,706.545,10.795
11,600,578.625,763.955,11.545
12,650,622.765,817.285,12.085
13,700,666.05,871.385,12.765
14,750,710.445,922.56,13.315
15,800,754.745,978.165,14.005
16,850,798.645,1031.82,14.595
17,900,841.22,1081.94,15.155
18,950,882.425,1139.03,15.86
19,1000,927.76,1188.955,16.335
