,K,avgs,feedback_packet_avgs
0,50,71.52,1.75
1,100,129.25,2.09
2,150,187.42,2.46
3,200,243.65,2.84
4,250,297.59,2.98
5,300,353.29,3.29
6,350,408.57,3.56
7,400,461.23,3.72
8,450,514.89,3.87
9,500,569.45,4.02
10,550,623.11,4.24
11,600,677.18,4.51
12,650,730.82,4.6
13,700,783.53,4.78
14,750,836.46,4.95
15,800,890.4,5.12
16,850,943.51,5.27
17,900,996.36,5.4
18,950,1049.89,5.62
19,1000,1100.16,5.64
