,K,avgs,feedback_packet_avgs
0,100,131.48,2.73
1,150,186.33,3.33
2,200,239.23,3.89
3,250,295.52,4.5
4,300,348.96,5.1
5,350,401.89,5.56
6,400,451.58,6.03
7,450,508.73,6.68
8,500,557.98,7.04
9,550,611.29,7.58
10,600,660.68,7.95
11,650,713.81,8.45
12,700,766.07,8.98
13,750,817.83,9.41
14,800,866.89,9.78
15,850,917.31,10.14
16,900,971.38,10.78
17,950,1020.1,11.08
18,1000,1072.35,11.59
