,K,avgs,feedback_packet_avgs
1,100,123.67,3.03
2,150,180.04,3.68
3,200,235.05,4.2
4,250,288.9,4.58
5,300,341.94,4.89
6,350,395.53,5.26
7,400,447.91,5.49
8,450,502.43,5.89
9,500,555.27,6.15
10,550,607.81,6.46
11,600,660.44,6.73
12,650,710.86,6.77
13,700,765.59,7.25
14,750,817.54,7.41
15,800,869.37,7.61
16,850,921.14,7.73
17,900,972.4,7.91
18,950,1024.46,8.12
19,1000,1077.16,8.39
