,w1_pro,times,w1_drops_used,w2_drops_used
0,0.9,0,101,192
1,0.9,1,102,216
2,0.9,2,109,221
3,0.9,3,94,215
4,0.9,4,110,225
5,0.9,5,125,260
6,0.9,6,106,231
7,0.9,7,127,224
8,0.9,8,116,240
9,0.9,9,130,245
10,0.9,10,105,244
11,0.9,11,119,238
12,0.9,12,102,213
13,0.9,13,96,229
14,0.9,14,109,223
15,0.9,15,137,246
16,0.9,16,119,230
17,0.9,17,118,234
18,0.9,18,102,235
19,0.9,19,122,255
20,0.9,20,108,222
21,0.9,21,107,220
22,0.9,22,110,231
23,0.9,23,137,246
24,0.9,24,126,243
25,0.9,25,96,220
26,0.9,26,106,219
27,0.9,27,115,229
28,0.9,28,114,240
29,0.9,29,128,234
30,0.9,30,131,261
31,0.9,31,115,239
32,0.9,32,106,247
33,0.9,33,94,217
34,0.9,34,110,247
35,0.9,35,132,265
36,0.9,36,107,223
37,0.9,37,102,237
38,0.9,38,93,221
39,0.9,39,142,274
40,0.9,40,117,228
41,0.9,41,118,247
42,0.9,42,103,246
43,0.9,43,91,219
44,0.9,44,106,216
45,0.9,45,101,214
46,0.9,46,116,255
47,0.9,47,100,239
48,0.9,48,107,225
49,0.9,49,102,233
50,0.9,50,98,211
51,0.9,51,114,242
52,0.9,52,125,247
53,0.9,53,95,225
54,0.9,54,95,207
55,0.9,55,107,219
56,0.9,56,120,239
57,0.9,57,114,241
58,0.9,58,116,233
59,0.9,59,115,216
60,0.9,60,113,252
61,0.9,61,144,279
62,0.9,62,125,264
63,0.9,63,109,232
64,0.9,64,93,214
65,0.9,65,110,239
66,0.9,66,110,231
67,0.9,67,113,228
68,0.9,68,96,237
69,0.9,69,99,209
70,0.9,70,110,250
71,0.9,71,107,218
72,0.9,72,118,237
73,0.9,73,106,234
74,0.9,74,100,185
75,0.9,75,119,258
76,0.9,76,121,247
77,0.9,77,113,214
78,0.9,78,104,230
79,0.9,79,110,224
80,0.9,80,116,250
81,0.9,81,94,224
82,0.9,82,112,233
83,0.9,83,113,239
84,0.9,84,108,236
85,0.9,85,115,227
86,0.9,86,109,248
87,0.9,87,98,201
88,0.9,88,111,228
89,0.9,89,112,228
90,0.9,90,104,218
91,0.9,91,95,226
92,0.9,92,93,213
93,0.9,93,123,232
94,0.9,94,92,209
95,0.9,95,120,250
96,0.9,96,142,258
97,0.9,97,139,242
98,0.9,98,96,235
99,0.9,99,109,232
