,K,avgs,feedback_packet_avgs
0,100,130.82,1.93
1,150,191.76,2.3
2,200,247.01,2.53
3,250,303.03,2.86
4,300,358.55,3.09
5,350,411.6,3.17
6,400,464.09,3.26
7,450,519.88,3.51
8,500,574.95,3.76
9,550,626.44,3.84
10,600,678.91,3.87
11,650,734.46,4.06
12,700,787.32,4.19
13,750,839.79,4.33
14,800,891.65,4.44
15,850,944.82,4.53
16,900,996.89,4.59
17,950,1049.38,4.67
18,1000,1100.75,4.74
