,K,avgs,feedback_packet_avgs
0,50,97.99,1.14
1,100,172.52,1.51
2,150,238.23,1.97
3,200,306.32,2.46
4,250,368.89,2.91
5,300,430.74,3.3
6,350,491.61,3.6
7,400,555.39,3.76
8,450,614.44,4.37
9,500,666.31,4.62
10,550,733.7,4.82
11,600,788.37,5.21
12,650,841.88,5.55
13,700,907.54,5.69
14,750,956.24,6.11
15,800,1019.78,6.32
16,850,1080.35,6.54
17,900,1128.86,7.1
18,950,1189.37,7.32
19,1000,1249.15,7.58
