,K,avgs,feedback_packet_avgs

0,100,175.57,1.86
1,150,247.44,2.42
2,200,315.29,2.91
3,250,378.02,3.45
4,300,437.81,3.87
5,350,499.28,4.03
6,400,562.11,4.38
7,450,623.63,4.92
8,500,688.49,5.29
9,550,738.77,5.56
10,600,800.27,5.83
11,650,856.31,6.23
12,700,915.6,6.5
13,750,975.45,6.71
14,800,1034.74,7.21
15,850,1080.21,7.44
16,900,1139.83,7.67
17,950,1208.79,8.01
18,1000,1266.22,8.44
