,K,avgs,feedback_packet_avgs
0,50,73.85,1.6
1,100,130.37,1.97
2,150,189.26,2.23
3,200,244.39,2.35
4,250,298.34,2.53
5,300,356.05,2.89
6,350,408.62,2.96
7,400,463.26,3.14
8,450,517.97,3.32
9,500,573.68,3.6
10,550,625.06,3.62
11,600,679.05,3.78
12,650,733.33,3.9
13,700,787.23,4.12
14,750,841.12,4.28
15,800,893.46,4.35
16,850,944.25,4.4
17,900,998.6,4.49
18,950,1052.25,4.77
19,1000,1103.86,4.78
