,w1_pro,times,w1_drops_used,w2_drops_used
0,0.6,0,143,180
1,0.6,1,143,196
2,0.6,2,136,213
3,0.6,3,148,185
4,0.6,4,159,209
5,0.6,5,192,228
6,0.6,6,128,187
7,0.6,7,130,189
8,0.6,8,122,201
9,0.6,9,133,190
10,0.6,10,117,178
11,0.6,11,135,188
12,0.6,12,110,189
13,0.6,13,144,211
14,0.6,14,116,180
15,0.6,15,146,189
16,0.6,16,142,193
17,0.6,17,141,191
18,0.6,18,150,217
19,0.6,19,129,196
20,0.6,20,120,186
21,0.6,21,147,174
22,0.6,22,132,175
23,0.6,23,124,184
24,0.6,24,130,185
25,0.6,25,136,173
26,0.6,26,200,200
27,0.6,27,167,219
28,0.6,28,156,205
29,0.6,29,160,187
30,0.6,30,125,213
31,0.6,31,134,179
32,0.6,32,167,222
33,0.6,33,160,188
34,0.6,34,158,210
35,0.6,35,128,199
36,0.6,36,149,158
37,0.6,37,143,170
38,0.6,38,141,199
39,0.6,39,121,200
40,0.6,40,128,185
41,0.6,41,132,186
42,0.6,42,179,232
43,0.6,43,149,189
44,0.6,44,117,181
45,0.6,45,129,208
46,0.6,46,147,181
47,0.6,47,144,182
48,0.6,48,159,182
49,0.6,49,137,188
50,0.6,50,136,185
51,0.6,51,172,172
52,0.6,52,124,182
53,0.6,53,126,168
54,0.6,54,131,182
55,0.6,55,133,191
56,0.6,56,155,186
57,0.6,57,125,191
58,0.6,58,117,200
59,0.6,59,124,222
60,0.6,60,145,195
61,0.6,61,127,182
62,0.6,62,172,194
63,0.6,63,151,201
64,0.6,64,128,207
65,0.6,65,130,200
66,0.6,66,170,198
67,0.6,67,131,186
68,0.6,68,174,224
69,0.6,69,150,185
70,0.6,70,128,189
71,0.6,71,159,192
72,0.6,72,112,172
73,0.6,73,128,210
74,0.6,74,171,212
75,0.6,75,123,184
76,0.6,76,137,166
77,0.6,77,131,161
78,0.6,78,155,194
79,0.6,79,138,195
80,0.6,80,157,207
81,0.6,81,160,209
82,0.6,82,122,173
83,0.6,83,162,234
84,0.6,84,150,201
85,0.6,85,155,204
86,0.6,86,135,172
87,0.6,87,110,200
88,0.6,88,127,183
89,0.6,89,128,174
90,0.6,90,143,186
91,0.6,91,151,186
92,0.6,92,149,215
93,0.6,93,162,205
94,0.6,94,153,187
95,0.6,95,122,179
96,0.6,96,120,191
97,0.6,97,150,175
98,0.6,98,117,194
99,0.6,99,138,188
