,w1_pro,w1_avgs,w2_avgs
0,0.0,170.18,170.18
1,0.1,166.93,167.34
2,0.2,167.99,168.98
3,0.3,162.19,167.74
4,0.4,156.46,171.7
5,0.5,148.35,178.32
6,0.6,140.97,192.39
7,0.7,134.37,206.12
8,0.8,126.4,224.92
9,0.9,114.89,236.15
