,K,avgs,feedback_packet_avgs
0,50,60.73,4.77
1,100,115.38,7.73
2,123,140.36,9.14
3,150,168.63,10.37
4,200,222.16,13.08
5,250,274.29,15.52
6,300,328.12,18.24
7,350,379.24,20.48
8,400,432.22,23.11
9,450,482.79,25.19
10,500,534.8,27.64
11,550,586.46,29.95
12,600,637.88,32.18
13,650,689.86,34.65
14,700,740.42,36.72
15,750,793.24,39.29
16,800,844.28,41.47
17,850,894.43,43.56
18,900,947.15,46.08
19,950,997.93,48.21
20,1000,1049.16,50.45
