,K,avgs,feedback_packet_avgs
0,100,114.22,7.5
1,123,138.96,8.81
2,150,167.43,10.2
3,200,220.74,12.79
4,250,271.34,14.99
5,300,322.99,17.29
6,350,373.99,19.46
7,400,425.18,21.69
8,450,475.67,23.8
9,500,527.27,26.13
10,550,578.07,28.29
11,600,628.84,30.46
12,650,679.22,32.52
13,700,729.84,34.61
14,750,780.86,36.79
15,800,830.68,38.8
16,850,882.27,41.15
17,900,931.97,43.06
18,950,982.26,45.12
19,1000,1033.13,47.28
