,num_chunks,times,w1_drop_num,w2_drop_num
0,100,0,130,157
1,100,1,105,168
2,100,2,107,188
3,100,3,186,236
4,100,4,150,173
5,100,5,119,148
6,100,6,126,165
7,100,7,98,148
8,100,8,138,166
9,100,9,108,173
10,100,10,126,150
11,100,11,127,177
12,100,12,103,164
13,100,13,113,164
14,100,14,114,193
15,100,15,116,177
16,100,16,112,182
17,100,17,125,156
18,100,18,144,191
19,100,19,125,161
20,100,20,126,164
21,100,21,132,158
22,100,22,157,196
23,100,23,120,162
24,100,24,113,166
25,100,25,113,164
26,100,26,113,192
27,100,27,131,180
28,100,28,138,185
29,100,29,110,164
30,100,30,139,191
31,100,31,126,151
32,100,32,117,179
33,100,33,123,160
34,100,34,130,160
35,100,35,170,190
36,100,36,133,154
37,100,37,142,161
38,100,38,139,188
39,100,39,188,196
40,100,40,138,170
41,100,41,134,164
42,100,42,128,169
43,100,43,149,164
44,100,44,120,189
45,100,45,131,180
46,100,46,172,195
47,100,47,118,185
48,100,48,129,155
49,100,49,106,185
50,100,50,96,170
51,100,51,112,171
52,100,52,105,142
53,100,53,159,180
54,100,54,104,146
55,100,55,93,173
56,100,56,119,157
57,100,57,122,171
58,100,58,109,183
59,100,59,165,208
60,100,60,120,158
61,100,61,132,181
62,100,62,129,193
63,100,63,112,161
64,100,64,144,171
65,100,65,107,169
66,100,66,108,145
67,100,67,118,151
68,100,68,137,162
69,100,69,119,164
70,100,70,128,161
71,100,71,110,147
72,100,72,112,165
73,100,73,125,169
74,100,74,119,156
75,100,75,154,185
76,100,76,123,160
77,100,77,119,168
78,100,78,182,205
79,100,79,122,169
80,100,80,124,175
81,100,81,104,162
82,100,82,135,164
83,100,83,118,184
84,100,84,110,159
85,100,85,131,173
86,100,86,161,193
87,100,87,140,162
88,100,88,127,165
89,100,89,119,198
90,100,90,100,154
91,100,91,109,159
92,100,92,106,156
93,100,93,108,164
94,100,94,122,172
95,100,95,144,183
96,100,96,94,195
97,100,97,125,151
98,100,98,121,163
99,100,99,138,169
