,num_chunks,times,w1_drop_num,w2_drop_num
0,350,0,380,485
1,350,1,411,513
2,350,2,354,487
3,350,3,366,471
4,350,4,378,488
5,350,5,396,527
6,350,6,376,465
7,350,7,393,511
8,350,8,429,520
9,350,9,387,475
10,350,10,340,479
11,350,11,395,475
12,350,12,347,478
13,350,13,348,487
14,350,14,357,478
15,350,15,395,474
16,350,16,454,536
17,350,17,387,479
18,350,18,387,496
19,350,19,420,506
20,350,20,430,496
21,350,21,374,495
22,350,22,392,482
23,350,23,361,502
24,350,24,364,486
25,350,25,360,498
26,350,26,367,506
27,350,27,388,502
28,350,28,448,537
29,350,29,366,475
30,350,30,358,482
31,350,31,360,470
32,350,32,398,493
33,350,33,368,494
34,350,34,365,473
35,350,35,443,557
36,350,36,394,492
37,350,37,374,500
38,350,38,378,517
39,350,39,376,509
40,350,40,418,486
41,350,41,353,500
42,350,42,382,500
43,350,43,369,492
44,350,44,386,496
45,350,45,388,510
46,350,46,380,452
47,350,47,360,489
48,350,48,384,509
49,350,49,384,464
50,350,50,360,450
51,350,51,376,485
52,350,52,445,517
53,350,53,367,490
54,350,54,449,524
55,350,55,452,520
56,350,56,359,476
57,350,57,379,466
58,350,58,358,497
59,350,59,386,488
60,350,60,357,466
61,350,61,366,462
62,350,62,373,476
63,350,63,377,486
64,350,64,396,476
65,350,65,406,491
66,350,66,389,496
67,350,67,384,523
68,350,68,411,513
69,350,69,372,480
70,350,70,406,503
71,350,71,409,489
72,350,72,396,496
73,350,73,445,541
74,350,74,431,488
75,350,75,389,498
76,350,76,385,488
77,350,77,397,508
78,350,78,396,511
79,350,79,394,507
80,350,80,383,479
81,350,81,429,524
82,350,82,426,536
83,350,83,353,492
84,350,84,383,492
85,350,85,402,521
86,350,86,370,469
87,350,87,406,515
88,350,88,357,485
89,350,89,388,502
90,350,90,384,514
91,350,91,365,498
92,350,92,429,508
93,350,93,390,449
94,350,94,400,495
95,350,95,389,498
96,350,96,391,481
97,350,97,386,471
98,350,98,372,519
99,350,99,398,491
