,num_chunks,times,w1_drop_num,w2_drop_num
0,1000,0,971,1225
1,1000,1,994,1182
2,1000,2,1006,1232
3,1000,3,1138,1313
4,1000,4,955,1194
5,1000,5,1011,1211
6,1000,6,950,1209
7,1000,7,990,1207
8,1000,8,956,1199
9,1000,9,981,1216
10,1000,10,1041,1280
11,1000,11,1076,1251
12,1000,12,986,1225
13,1000,13,931,1193
14,1000,14,1044,1273
15,1000,15,1009,1238
16,1000,16,970,1200
17,1000,17,1016,1211
18,1000,18,1092,1246
19,1000,19,1048,1279
20,1000,20,1011,1242
21,1000,21,968,1227
22,1000,22,956,1180
23,1000,23,1017,1196
24,1000,24,984,1193
25,1000,25,1051,1241
26,1000,26,976,1232
27,1000,27,1011,1247
28,1000,28,1020,1221
29,1000,29,1084,1271
30,1000,30,981,1209
31,1000,31,985,1177
32,1000,32,961,1183
33,1000,33,990,1234
34,1000,34,1003,1172
35,1000,35,988,1247
36,1000,36,973,1214
37,1000,37,1083,1331
38,1000,38,986,1230
39,1000,39,1002,1257
40,1000,40,1021,1244
41,1000,41,1067,1242
42,1000,42,996,1196
43,1000,43,961,1193
44,1000,44,1028,1225
45,1000,45,987,1243
46,1000,46,928,1222
47,1000,47,927,1245
48,1000,48,1044,1273
49,1000,49,970,1231
50,1000,50,1067,1299
51,1000,51,977,1228
52,1000,52,1020,1254
53,1000,53,1011,1240
54,1000,54,997,1226
55,1000,55,989,1219
56,1000,56,1000,1247
57,1000,57,994,1230
58,1000,58,1081,1276
59,1000,59,976,1192
60,1000,60,965,1224
61,1000,61,976,1175
62,1000,62,964,1224
63,1000,63,1019,1260
64,1000,64,932,1193
65,1000,65,1081,1280
66,1000,66,981,1246
67,1000,67,1026,1233
68,1000,68,976,1205
69,1000,69,1019,1238
70,1000,70,1147,1331
71,1000,71,983,1197
72,1000,72,998,1227
73,1000,73,972,1213
74,1000,74,989,1255
75,1000,75,1068,1285
76,1000,76,1002,1218
77,1000,77,977,1253
78,1000,78,1001,1200
79,1000,79,1003,1199
80,1000,80,1075,1283
81,1000,81,1073,1303
82,1000,82,1058,1262
83,1000,83,976,1190
84,1000,84,1013,1272
85,1000,85,970,1225
86,1000,86,991,1234
87,1000,87,1008,1198
88,1000,88,1026,1260
89,1000,89,976,1244
90,1000,90,957,1181
91,1000,91,955,1215
92,1000,92,1115,1314
93,1000,93,957,1216
94,1000,94,983,1157
95,1000,95,1170,1343
96,1000,96,1055,1290
97,1000,97,984,1237
98,1000,98,1138,1340
99,1000,99,1039,1276
