,num_chunks,times,w1_drop_num,w2_drop_num
0,250,0,258,337
1,250,1,277,367
2,250,2,284,399
3,250,3,231,368
4,250,4,281,375
5,250,5,386,439
6,250,6,294,383
7,250,7,270,382
8,250,8,290,352
9,250,9,245,343
10,250,10,297,376
11,250,11,291,372
12,250,12,269,360
13,250,13,263,358
14,250,14,296,389
15,250,15,287,363
16,250,16,259,338
17,250,17,273,332
18,250,18,343,398
19,250,19,309,394
20,250,20,270,379
21,250,21,294,421
22,250,22,293,373
23,250,23,290,369
24,250,24,338,413
25,250,25,268,360
26,250,26,283,367
27,250,27,274,375
28,250,28,315,364
29,250,29,263,345
30,250,30,308,379
31,250,31,259,330
32,250,32,288,343
33,250,33,266,358
34,250,34,327,392
35,250,35,302,372
36,250,36,274,368
37,250,37,277,379
38,250,38,286,355
39,250,39,277,354
40,250,40,274,351
41,250,41,279,362
42,250,42,268,364
43,250,43,266,349
44,250,44,272,380
45,250,45,274,358
46,250,46,269,397
47,250,47,301,380
48,250,48,320,376
49,250,49,282,360
50,250,50,248,353
51,250,51,293,365
52,250,52,279,391
53,250,53,302,377
54,250,54,300,379
55,250,55,266,354
56,250,56,319,399
57,250,57,328,398
58,250,58,232,323
59,250,59,330,391
60,250,60,303,354
61,250,61,292,374
62,250,62,275,356
63,250,63,282,352
64,250,64,337,371
65,250,65,324,377
66,250,66,271,355
67,250,67,250,327
68,250,68,302,368
69,250,69,309,391
70,250,70,302,390
71,250,71,294,382
72,250,72,315,365
73,250,73,352,439
74,250,74,368,429
75,250,75,340,419
76,250,76,270,380
77,250,77,270,358
78,250,78,251,341
79,250,79,258,365
80,250,80,298,361
81,250,81,275,352
82,250,82,297,376
83,250,83,356,433
84,250,84,274,348
85,250,85,300,354
86,250,86,272,375
87,250,87,293,381
88,250,88,290,391
89,250,89,275,362
90,250,90,242,357
91,250,91,284,350
92,250,92,296,383
93,250,93,313,364
94,250,94,268,325
95,250,95,299,361
96,250,96,269,332
97,250,97,272,374
98,250,98,293,363
99,250,99,246,355
