,num_chunks,times,w1_drop_num,w2_drop_num
0,50,0,65,89
1,50,1,64,98
2,50,2,92,111
3,50,3,68,117
4,50,4,57,95
5,50,5,74,94
6,50,6,67,94
7,50,7,67,114
8,50,8,77,97
9,50,9,70,91
10,50,10,61,91
11,50,11,66,94
12,50,12,69,121
13,50,13,72,96
14,50,14,64,88
15,50,15,65,86
16,50,16,111,111
17,50,17,90,109
18,50,18,64,113
19,50,19,86,118
20,50,20,64,92
21,50,21,63,84
22,50,22,59,109
23,50,23,62,91
24,50,24,60,99
25,50,25,89,109
26,50,26,52,107
27,50,27,59,109
28,50,28,70,71
29,50,29,49,97
30,50,30,80,106
31,50,31,64,98
32,50,32,63,85
33,50,33,56,81
34,50,34,82,110
35,50,35,82,82
36,50,36,54,82
37,50,37,61,86
38,50,38,58,107
39,50,39,52,91
40,50,40,80,99
41,50,41,63,112
42,50,42,81,100
43,50,43,65,84
44,50,44,64,102
45,50,45,66,103
46,50,46,57,85
47,50,47,51,106
48,50,48,55,119
49,50,49,72,91
50,50,50,103,103
51,50,51,104,104
52,50,52,77,102
53,50,53,67,97
54,50,54,100,124
55,50,55,99,122
56,50,56,66,96
57,50,57,56,87
58,50,58,49,81
59,50,59,76,97
60,50,60,55,84
61,50,61,84,103
62,50,62,48,97
63,50,63,79,100
64,50,64,71,108
65,50,65,82,83
66,50,66,67,132
67,50,67,68,121
68,50,68,74,122
69,50,69,73,95
70,50,70,60,111
71,50,71,73,97
72,50,72,55,93
73,50,73,72,88
74,50,74,66,81
75,50,75,57,105
76,50,76,70,82
77,50,77,61,90
78,50,78,63,101
79,50,79,82,101
80,50,80,73,82
81,50,81,69,97
82,50,82,58,86
83,50,83,72,113
84,50,84,77,98
85,50,85,60,112
86,50,86,63,83
87,50,87,60,109
88,50,88,63,112
89,50,89,86,111
90,50,90,61,88
91,50,91,72,96
92,50,92,93,93
93,50,93,52,101
94,50,94,83,102
95,50,95,63,85
96,50,96,57,107
97,50,97,61,87
98,50,98,48,99
99,50,99,58,112
