,num_chunks,times,w1_drop_num,w2_drop_num
0,700,0,834,980
1,700,1,715,914
2,700,2,740,943
3,700,3,782,924
4,700,4,716,887
5,700,5,658,887
6,700,6,687,859
7,700,7,702,900
8,700,8,760,936
9,700,9,705,880
10,700,10,741,898
11,700,11,700,861
12,700,12,729,913
13,700,13,735,910
14,700,14,734,936
15,700,15,707,876
16,700,16,672,861
17,700,17,662,869
18,700,18,768,943
19,700,19,684,876
20,700,20,750,895
21,700,21,694,863
22,700,22,682,891
23,700,23,741,915
24,700,24,690,878
25,700,25,698,864
26,700,26,821,951
27,700,27,697,868
28,700,28,748,886
29,700,29,699,928
30,700,30,717,895
31,700,31,688,887
32,700,32,720,857
33,700,33,743,867
34,700,34,731,889
35,700,35,750,925
36,700,36,719,870
37,700,37,749,932
38,700,38,717,867
39,700,39,785,949
40,700,40,775,969
41,700,41,726,892
42,700,42,740,909
43,700,43,693,874
44,700,44,858,1027
45,700,45,697,896
46,700,46,766,960
47,700,47,721,912
48,700,48,711,897
49,700,49,698,892
50,700,50,771,941
51,700,51,682,891
52,700,52,715,864
53,700,53,736,893
54,700,54,762,897
55,700,55,697,890
56,700,56,735,919
57,700,57,760,929
58,700,58,702,872
59,700,59,721,889
60,700,60,667,869
61,700,61,710,898
62,700,62,826,947
63,700,63,696,895
64,700,64,695,868
65,700,65,675,904
66,700,66,653,855
67,700,67,692,872
68,700,68,735,899
69,700,69,753,897
70,700,70,753,903
71,700,71,734,904
72,700,72,728,897
73,700,73,716,879
74,700,74,740,883
75,700,75,728,873
76,700,76,729,880
77,700,77,709,929
78,700,78,718,878
79,700,79,729,903
80,700,80,849,1024
81,700,81,689,858
82,700,82,750,899
83,700,83,697,846
84,700,84,763,932
85,700,85,752,921
86,700,86,700,870
87,700,87,732,875
88,700,88,737,881
89,700,89,730,901
90,700,90,732,901
91,700,91,794,934
92,700,92,659,862
93,700,93,740,918
94,700,94,779,943
95,700,95,679,908
96,700,96,720,906
97,700,97,687,876
98,700,98,718,917
99,700,99,722,921
