,num_chunks,times,w1_drop_num,w2_drop_num
0,550,0,582,722
1,550,1,621,732
2,550,2,557,701
3,550,3,590,732
4,550,4,508,696
5,550,5,573,717
6,550,6,689,823
7,550,7,603,723
8,550,8,593,716
9,550,9,544,713
10,550,10,551,715
11,550,11,592,725
12,550,12,524,707
13,550,13,548,660
14,550,14,537,710
15,550,15,674,773
16,550,16,537,716
17,550,17,577,707
18,550,18,539,712
19,550,19,652,789
20,550,20,686,803
21,550,21,604,780
22,550,22,666,760
23,550,23,597,738
24,550,24,517,695
25,550,25,574,702
26,550,26,612,758
27,550,27,552,691
28,550,28,612,767
29,550,29,653,789
30,550,30,611,760
31,550,31,908,994
32,550,32,611,717
33,550,33,571,717
34,550,34,688,769
35,550,35,570,743
36,550,36,653,778
37,550,37,573,741
38,550,38,559,730
39,550,39,579,734
40,550,40,530,724
41,550,41,665,834
42,550,42,570,709
43,550,43,655,792
44,550,44,609,782
45,550,45,561,722
46,550,46,552,714
47,550,47,635,760
48,550,48,556,678
49,550,49,541,680
50,550,50,629,770
51,550,51,540,717
52,550,52,599,768
53,550,53,726,809
54,550,54,619,734
55,550,55,658,797
56,550,56,549,692
57,550,57,627,738
58,550,58,574,685
59,550,59,604,748
60,550,60,570,711
61,550,61,607,713
62,550,62,662,754
63,550,63,586,751
64,550,64,586,751
65,550,65,560,745
66,550,66,535,661
67,550,67,532,731
68,550,68,670,795
69,550,69,662,781
70,550,70,573,712
71,550,71,520,683
72,550,72,638,764
73,550,73,553,725
74,550,74,539,729
75,550,75,530,709
76,550,76,560,723
77,550,77,567,736
78,550,78,566,735
79,550,79,539,702
80,550,80,604,778
81,550,81,573,716
82,550,82,639,746
83,550,83,591,741
84,550,84,517,701
85,550,85,617,743
86,550,86,751,908
87,550,87,564,733
88,550,88,657,790
89,550,89,583,758
90,550,90,545,716
91,550,91,612,731
92,550,92,646,786
93,550,93,608,728
94,550,94,559,729
95,550,95,626,722
96,550,96,617,760
97,550,97,570,728
98,550,98,525,692
99,550,99,598,737
