,K,avgs,feedback_packet_avgs
0,50,63.82,3.4
1,100,120.55,4.8
2,123,146.1,5.22
3,150,175.57,5.7
4,200,231.18,6.86
5,250,287.38,8.08
6,300,341.27,8.86
7,350,394.74,9.62
8,400,447.58,10.13
9,450,501.83,10.99
10,500,556.36,11.84
11,550,610.13,12.6
12,600,662.58,13.16
13,650,716.87,13.97
14,700,769.46,14.51
15,750,822.86,15.21
16,800,876.05,15.77
17,850,928.01,16.2
18,900,981.29,16.87
19,950,1035.15,17.61
20,1000,1087.94,18.15
