,K,avgs
1,100,188.0
2,150,257.72
3,200,323.69
4,250,409.02
5,300,480.86
6,350,548.06
7,400,658.78
8,450,725.53
9,500,812.26
10,550,934.62
11,600,1005.03
12,650,1134.84
13,700,1204.88
14,750,1320.89
15,800,1386.04
16,850,1536.29
17,900,1734.54
18,950,1730.4
19,1000,1916.84
