,K,avgs,feedback_packet_avgs
0,100,119.63,4.59
1,123,144.33,5.3
2,150,174.19,6.13
3,200,226.8,7.36
4,250,279.26,8.61
5,300,331.25,9.84
6,350,382.79,10.99
7,400,436.02,12.29
8,450,485.38,13.18
9,500,535.68,14.28
10,550,589.38,15.63
11,600,639.56,16.64
12,650,690.59,17.75
13,700,741.3,18.79
14,750,794.17,20.11
15,800,842.47,20.95
16,850,893.87,22.03
17,900,945.14,23.15
18,950,994.43,24.07
19,1000,1046.3,25.26
