,K,avgs,feedback_packet_avgs
0,50,71.88,2.01
1,100,130.99,2.71
2,150,187.41,3.32
3,200,240.44,3.94
4,250,293.58,4.3
5,300,347.22,4.92
6,350,400.87,5.45
7,400,451.11,5.87
8,450,505.22,6.43
9,500,558.46,6.97
10,550,610.96,7.47
11,600,661.4,7.9
12,650,714.65,8.41
13,700,766.0,8.93
14,750,816.59,9.26
15,800,870.77,9.88
16,850,920.14,10.18
17,900,973.89,10.77
18,950,1026.46,11.3
19,1000,1077.76,11.69
