,K,avgs,feedback_packet_avgs
0,50,66.6,2.28
1,100,125.61,3.21
2,150,181.44,3.8
3,200,236.82,4.35
4,250,291.8,4.82
5,300,347.02,5.3
6,350,400.53,5.69
7,400,455.76,6.21
8,450,509.41,6.52
9,500,562.89,6.89
10,550,617.39,7.32
11,600,672.49,7.86
12,650,723.74,8.0
13,700,778.43,8.45
14,750,829.71,8.55
15,800,884.49,9.05
16,850,938.11,9.42
17,900,991.14,9.72
18,950,1043.83,9.95
19,1000,1095.63,10.18
