,nums_left
0,231
1,244
2,210
3,233
4,225
5,220
6,206
7,218
8,206
9,204
10,219
11,187
12,242
13,157
14,171
15,227
16,223
17,226
18,234
19,227
20,232
21,162
22,246
23,224
24,212
25,224
26,212
27,226
28,215
29,220
30,208
31,235
32,198
33,229
34,236
35,258
36,218
37,212
38,247
39,177
40,221
41,236
42,228
43,232
44,227
45,221
46,215
47,224
48,186
49,239
50,211
51,225
52,238
53,213
54,250
55,238
56,241
57,227
58,217
59,236
60,223
61,234
62,211
63,219
64,224
65,238
66,228
67,243
68,205
69,203
70,219
71,210
72,193
73,178
74,221
75,195
76,187
77,219
78,216
79,204
80,227
81,216
82,242
83,191
84,218
85,202
86,205
87,244
88,229
89,226
90,226
91,227
92,210
93,237
94,204
95,218
96,258
97,196
98,63
99,211
