,K,avgs
0,50,82.38
1,100,150.49
2,150,215.61
3,200,278.29
4,250,348.01
5,300,398.07
6,350,468.16
7,400,519.98
8,450,584.6
9,500,650.48
10,550,705.95
11,600,777.51
12,650,831.13
13,700,893.03
14,750,959.75
15,800,1006.0
16,850,1075.24
17,900,1119.53
18,950,1198.49
19,1000,1244.31
