,K,avgs,feedback_packet_avgs
0,50,65.24,3.19
1,100,120.3,4.68
2,123,145.05,5.31
3,150,174.31,6.08
4,200,226.71,7.3
5,250,281.03,8.7
6,300,331.94,9.86
7,350,385.13,11.11
8,400,437.09,12.34
9,450,488.98,13.54
10,500,541.0,14.68
11,550,593.71,15.99
12,600,643.88,17.0
13,650,696.53,18.31
14,700,749.33,19.59
15,750,800.16,20.69
16,800,852.23,21.8
17,850,904.23,23.04
18,900,954.97,24.11
19,950,1007.25,25.36
20,1000,1057.43,26.34
