,num_chunks,times,send_drop_used,recv_drop_used
0,0.25,0,327,248
1,0.25,1,458,364
2,0.25,2,341,254
3,0.25,3,472,352
4,0.25,4,387,277
5,0.25,5,404,310
6,0.25,6,518,380
7,0.25,7,345,261
8,0.25,8,665,501
9,0.25,9,448,339
10,0.25,10,428,303
11,0.25,11,318,245
12,0.25,12,367,273
13,0.25,13,367,284
14,0.25,14,446,317
15,0.25,15,450,339
16,0.25,16,459,343
17,0.25,17,424,331
18,0.25,18,389,297
19,0.25,19,321,238
20,0.25,20,312,239
21,0.25,21,574,421
22,0.25,22,418,303
23,0.25,23,385,288
24,0.25,24,456,329
25,0.25,25,332,247
26,0.25,26,334,256
27,0.25,27,344,272
28,0.25,28,335,257
29,0.25,29,480,364
30,0.25,30,454,351
31,0.25,31,449,347
32,0.25,32,445,330
33,0.25,33,468,365
34,0.25,34,449,335
35,0.25,35,345,258
36,0.25,36,435,325
37,0.25,37,328,242
38,0.25,38,453,335
39,0.25,39,487,359
40,0.25,40,868,644
41,0.25,41,550,396
42,0.25,42,412,317
43,0.25,43,407,301
44,0.25,44,383,304
45,0.25,45,348,257
46,0.25,46,407,308
47,0.25,47,739,558
48,0.25,48,465,347
49,0.25,49,438,325
50,0.25,50,285,228
51,0.25,51,559,438
52,0.25,52,361,274
53,0.25,53,454,334
54,0.25,54,633,478
55,0.25,55,553,402
56,0.25,56,491,351
57,0.25,57,415,300
58,0.25,58,443,332
59,0.25,59,542,402
60,0.25,60,408,307
61,0.25,61,347,263
62,0.25,62,530,394
63,0.25,63,786,591
64,0.25,64,590,441
65,0.25,65,432,315
66,0.25,66,542,404
67,0.25,67,350,266
68,0.25,68,308,237
69,0.25,69,367,275
70,0.25,70,306,226
71,0.25,71,440,333
72,0.25,72,439,327
73,0.25,73,458,346
74,0.25,74,407,296
75,0.25,75,465,366
76,0.25,76,571,434
77,0.25,77,534,389
78,0.25,78,374,274
79,0.25,79,390,289
80,0.25,80,381,291
81,0.25,81,538,417
82,0.25,82,405,314
83,0.25,83,327,247
84,0.25,84,338,247
85,0.25,85,446,334
86,0.25,86,445,340
87,0.25,87,425,317
88,0.25,88,280,225
89,0.25,89,512,377
90,0.25,90,306,215
91,0.25,91,299,234
92,0.25,92,514,385
93,0.25,93,552,416
94,0.25,94,444,326
95,0.25,95,273,217
96,0.25,96,598,458
97,0.25,97,343,272
98,0.25,98,511,376
99,0.25,99,455,348
100,0.25,100,494,357
101,0.25,101,450,319
102,0.25,102,556,412
103,0.25,103,432,320
104,0.25,104,448,318
105,0.25,105,301,239
106,0.25,106,656,488
107,0.25,107,469,339
108,0.25,108,507,387
109,0.25,109,404,305
110,0.25,110,320,249
111,0.25,111,380,278
112,0.25,112,437,338
113,0.25,113,436,325
114,0.25,114,413,298
115,0.25,115,458,343
116,0.25,116,701,528
117,0.25,117,449,343
118,0.25,118,475,351
119,0.25,119,553,415
120,0.25,120,316,248
121,0.25,121,431,326
122,0.25,122,589,455
123,0.25,123,417,314
124,0.25,124,380,280
125,0.25,125,450,331
126,0.25,126,414,308
127,0.25,127,429,322
128,0.25,128,452,331
129,0.25,129,553,407
130,0.25,130,380,286
131,0.25,131,493,372
132,0.25,132,563,431
133,0.25,133,358,280
134,0.25,134,324,253
135,0.25,135,537,410
136,0.25,136,388,282
137,0.25,137,418,305
138,0.25,138,443,327
139,0.25,139,397,296
140,0.25,140,480,361
141,0.25,141,547,387
142,0.25,142,440,327
143,0.25,143,445,327
144,0.25,144,792,584
145,0.25,145,626,452
146,0.25,146,450,334
147,0.25,147,409,320
148,0.25,148,516,394
149,0.25,149,378,287
150,0.25,150,352,269
151,0.25,151,504,381
152,0.25,152,510,390
153,0.25,153,355,275
154,0.25,154,365,277
155,0.25,155,488,368
156,0.25,156,334,255
157,0.25,157,401,285
158,0.25,158,376,281
159,0.25,159,456,352
160,0.25,160,305,236
161,0.25,161,504,387
162,0.25,162,420,306
163,0.25,163,522,367
164,0.25,164,569,445
165,0.25,165,455,339
166,0.25,166,496,393
167,0.25,167,354,250
168,0.25,168,640,499
169,0.25,169,432,312
170,0.25,170,449,341
171,0.25,171,428,316
172,0.25,172,321,248
173,0.25,173,409,304
174,0.25,174,313,231
175,0.25,175,371,269
176,0.25,176,291,216
177,0.25,177,469,352
178,0.25,178,362,271
179,0.25,179,486,352
180,0.25,180,500,369
181,0.25,181,441,345
182,0.25,182,354,268
183,0.25,183,568,429
184,0.25,184,534,409
185,0.25,185,363,268
186,0.25,186,533,418
187,0.25,187,441,336
188,0.25,188,684,520
189,0.25,189,580,424
190,0.25,190,357,273
191,0.25,191,348,249
192,0.25,192,409,307
193,0.25,193,444,330
194,0.25,194,507,385
195,0.25,195,568,417
196,0.25,196,585,421
197,0.25,197,457,331
198,0.25,198,455,345
199,0.25,199,467,340
200,0.25,200,459,355
201,0.25,201,498,377
202,0.25,202,363,272
203,0.25,203,558,416
204,0.25,204,444,338
205,0.25,205,420,298
206,0.25,206,422,312
207,0.25,207,530,400
208,0.25,208,325,241
209,0.25,209,383,277
210,0.25,210,473,341
211,0.25,211,414,323
212,0.25,212,630,467
213,0.25,213,689,523
214,0.25,214,421,324
215,0.25,215,372,270
216,0.25,216,614,472
217,0.25,217,456,345
218,0.25,218,315,243
219,0.25,219,419,319
220,0.25,220,685,514
221,0.25,221,410,309
222,0.25,222,620,474
223,0.25,223,332,266
224,0.25,224,321,253
225,0.25,225,478,360
226,0.25,226,416,323
227,0.25,227,794,615
228,0.25,228,507,375
229,0.25,229,563,428
230,0.25,230,337,250
231,0.25,231,417,310
232,0.25,232,319,243
233,0.25,233,340,266
234,0.25,234,451,338
235,0.25,235,372,280
236,0.25,236,546,387
237,0.25,237,422,318
238,0.25,238,344,265
239,0.25,239,521,398
240,0.25,240,524,386
241,0.25,241,348,255
242,0.25,242,345,266
243,0.25,243,396,303
244,0.25,244,566,423
245,0.25,245,333,255
246,0.25,246,352,264
247,0.25,247,491,368
248,0.25,248,459,356
249,0.25,249,407,322
250,0.25,250,451,336
251,0.25,251,338,256
252,0.25,252,478,354
253,0.25,253,443,324
254,0.25,254,356,270
255,0.25,255,417,314
256,0.25,256,341,253
257,0.25,257,333,260
258,0.25,258,424,311
259,0.25,259,508,381
260,0.25,260,400,300
261,0.25,261,420,329
262,0.25,262,415,310
263,0.25,263,469,338
264,0.25,264,371,275
265,0.25,265,337,263
266,0.25,266,371,279
267,0.25,267,374,278
268,0.25,268,460,337
269,0.25,269,443,319
270,0.25,270,402,290
271,0.25,271,444,337
272,0.25,272,493,365
273,0.25,273,413,290
274,0.25,274,336,258
275,0.25,275,345,267
276,0.25,276,437,317
277,0.25,277,417,327
278,0.25,278,287,223
279,0.25,279,453,335
280,0.25,280,414,306
281,0.25,281,411,306
282,0.25,282,539,396
283,0.25,283,449,332
284,0.25,284,340,258
285,0.25,285,337,256
286,0.25,286,484,369
287,0.25,287,774,586
288,0.25,288,448,334
289,0.25,289,438,341
290,0.25,290,446,339
291,0.25,291,412,305
292,0.25,292,477,364
293,0.25,293,460,353
294,0.25,294,373,286
295,0.25,295,395,289
296,0.25,296,547,407
297,0.25,297,488,368
298,0.25,298,506,368
299,0.25,299,356,272
300,0.25,300,330,264
301,0.25,301,409,301
302,0.25,302,340,265
303,0.25,303,329,255
304,0.25,304,450,341
305,0.25,305,535,387
306,0.25,306,675,516
307,0.25,307,488,364
308,0.25,308,308,235
309,0.25,309,490,373
310,0.25,310,457,338
311,0.25,311,452,337
312,0.25,312,684,510
313,0.25,313,380,285
314,0.25,314,535,399
315,0.25,315,521,389
316,0.25,316,442,318
317,0.25,317,429,310
318,0.25,318,458,346
319,0.25,319,456,335
320,0.25,320,365,269
321,0.25,321,360,282
322,0.25,322,603,447
323,0.25,323,329,241
324,0.25,324,757,549
325,0.25,325,316,229
326,0.25,326,418,332
327,0.25,327,366,269
328,0.25,328,364,274
329,0.25,329,306,236
330,0.25,330,487,373
331,0.25,331,342,256
332,0.25,332,462,348
333,0.25,333,542,384
334,0.25,334,366,265
335,0.25,335,380,289
336,0.25,336,467,368
337,0.25,337,603,457
338,0.25,338,681,503
339,0.25,339,475,358
340,0.25,340,432,317
341,0.25,341,345,266
342,0.25,342,677,497
343,0.25,343,765,581
344,0.25,344,538,405
345,0.25,345,504,366
346,0.25,346,472,355
347,0.25,347,338,258
348,0.25,348,572,457
349,0.25,349,384,290
350,0.25,350,557,432
351,0.25,351,458,344
352,0.25,352,547,389
353,0.25,353,280,212
354,0.25,354,457,347
355,0.25,355,398,291
356,0.25,356,458,339
357,0.25,357,450,322
358,0.25,358,544,396
359,0.25,359,441,339
360,0.25,360,507,382
361,0.25,361,451,346
362,0.25,362,451,334
363,0.25,363,632,474
364,0.25,364,610,439
365,0.25,365,863,623
366,0.25,366,501,372
367,0.25,367,453,351
368,0.25,368,415,292
369,0.25,369,405,312
370,0.25,370,563,416
371,0.25,371,591,443
372,0.25,372,375,288
373,0.25,373,689,495
374,0.25,374,336,256
375,0.25,375,499,387
376,0.25,376,373,291
377,0.25,377,453,323
378,0.25,378,507,395
379,0.25,379,430,335
380,0.25,380,433,333
381,0.25,381,492,367
382,0.25,382,286,231
383,0.25,383,533,405
384,0.25,384,464,354
385,0.25,385,295,229
386,0.25,386,393,298
387,0.25,387,366,269
388,0.25,388,396,304
389,0.25,389,565,426
390,0.25,390,478,352
391,0.25,391,379,296
392,0.25,392,369,264
393,0.25,393,326,238
394,0.25,394,434,319
395,0.25,395,313,235
396,0.25,396,463,355
397,0.25,397,352,263
398,0.25,398,402,305
399,0.25,399,366,290
400,0.25,400,516,385
401,0.25,401,452,343
402,0.25,402,432,322
403,0.25,403,481,355
404,0.25,404,513,386
405,0.25,405,815,625
406,0.25,406,428,337
407,0.25,407,338,258
408,0.25,408,361,266
409,0.25,409,315,247
410,0.25,410,425,317
411,0.25,411,334,259
412,0.25,412,478,349
413,0.25,413,341,271
414,0.25,414,582,414
415,0.25,415,552,416
416,0.25,416,464,339
417,0.25,417,271,207
418,0.25,418,319,251
419,0.25,419,446,336
420,0.25,420,822,610
421,0.25,421,460,346
422,0.25,422,327,239
423,0.25,423,355,280
424,0.25,424,397,310
425,0.25,425,487,364
426,0.25,426,764,549
427,0.25,427,696,520
428,0.25,428,664,492
429,0.25,429,562,429
430,0.25,430,344,264
431,0.25,431,720,532
432,0.25,432,331,254
433,0.25,433,396,301
434,0.25,434,653,469
435,0.25,435,571,416
436,0.25,436,423,315
437,0.25,437,454,348
438,0.25,438,412,305
439,0.25,439,539,415
440,0.25,440,437,322
441,0.25,441,304,230
442,0.25,442,336,248
443,0.25,443,423,325
444,0.25,444,432,342
445,0.25,445,487,366
446,0.25,446,438,323
447,0.25,447,583,435
448,0.25,448,340,254
449,0.25,449,506,384
450,0.25,450,337,259
451,0.25,451,452,335
452,0.25,452,290,220
453,0.25,453,410,299
454,0.25,454,466,352
455,0.25,455,455,361
456,0.25,456,497,362
457,0.25,457,388,281
458,0.25,458,551,435
459,0.25,459,447,338
460,0.25,460,699,538
461,0.25,461,784,601
462,0.25,462,473,346
463,0.25,463,441,323
464,0.25,464,449,345
465,0.25,465,573,414
466,0.25,466,391,294
467,0.25,467,603,460
468,0.25,468,312,238
469,0.25,469,399,301
470,0.25,470,436,326
471,0.25,471,520,390
472,0.25,472,459,334
473,0.25,473,371,274
474,0.25,474,485,379
475,0.25,475,445,325
476,0.25,476,542,416
477,0.25,477,420,308
478,0.25,478,329,262
479,0.25,479,425,317
480,0.25,480,566,410
481,0.25,481,434,330
482,0.25,482,534,392
483,0.25,483,331,243
484,0.25,484,465,331
485,0.25,485,372,279
486,0.25,486,445,337
487,0.25,487,645,479
488,0.25,488,395,289
489,0.25,489,462,338
490,0.25,490,550,406
491,0.25,491,520,380
492,0.25,492,441,333
493,0.25,493,426,320
494,0.25,494,326,246
495,0.25,495,384,289
496,0.25,496,553,400
497,0.25,497,546,404
498,0.25,498,539,396
499,0.25,499,481,363
500,0.25,500,317,238
501,0.25,501,460,343
502,0.25,502,438,320
503,0.25,503,469,338
504,0.25,504,346,264
505,0.25,505,347,262
506,0.25,506,421,324
507,0.25,507,330,246
508,0.25,508,354,262
509,0.25,509,722,547
510,0.25,510,666,490
511,0.25,511,437,312
512,0.25,512,415,297
513,0.25,513,531,401
514,0.25,514,339,258
515,0.25,515,419,327
516,0.25,516,638,473
517,0.25,517,331,237
518,0.25,518,632,479
519,0.25,519,529,381
520,0.25,520,418,306
521,0.25,521,432,323
522,0.25,522,351,268
523,0.25,523,446,333
524,0.25,524,440,326
525,0.25,525,565,432
526,0.25,526,565,428
527,0.25,527,509,400
528,0.25,528,433,321
529,0.25,529,460,335
530,0.25,530,463,353
531,0.25,531,568,406
532,0.25,532,446,332
533,0.25,533,425,316
534,0.25,534,786,604
535,0.25,535,399,309
