,per,avg_send_drops,avg_recv_drops
0,0.0,115.0,115.0
1,0.01,164.19,162.525
2,0.02,190.533,186.692
3,0.03,207.976,201.708
4,0.04,220.858,212.114
5,0.05,231.756,220.131
6,0.06,245.177,230.399
7,0.07,256.88,239.015
8,0.08,264.27,243.038
9,0.09,276.312,251.611
10,0.1,286.45,257.879
11,0.125,312.833,273.701
12,0.15,347.484,295.282
13,0.175,366.073,302.115
14,0.2,397.517,317.743
15,0.225,425.917,330.08
16,0.25,455.614,341.7
17,0.275,482.855,350.127
18,0.3,526.287,367.978
19,0.325,556.604,375.51
20,0.35,591.395,384.145
21,0.375,632.286,395.126
22,0.4,672.175,403.072
23,0.425,728.202,418.015
24,0.45,765.381,421.145
25,0.475,829.013,434.549
26,0.5,887.882,444.028
