,per,avgs
0,0,168.87
1,0.05,168.97
2,0.1,164.73
3,0.15,168.66
4,0.2,168.28
5,0.25,173.89
6,0.3,170.54
7,0.35,173.22
8,0.4,167.01
9,0.45,168.08
10,0.5,166.98
