,K,avgs,feedback_packet_avgs
0,50,61.3,4.89
1,100,115.07,7.65
2,123,140.18,9.06
3,150,168.88,10.44
4,200,221.63,12.98
5,250,274.9,15.6
6,300,326.35,17.91
7,350,378.17,20.25
8,400,429.21,22.51
9,450,482.61,25.17
10,500,534.57,27.52
11,550,585.8,29.81
12,600,639.24,32.5
13,650,688.78,34.43
14,700,740.4,36.7
15,750,793.2,39.27
16,800,845.31,41.72
17,850,896.42,43.87
18,900,946.92,46.03
19,950,999.4,48.5
20,1000,1050.04,50.65
