,K,avgs,feedback_packet_avgs
0,100,180.24,3.34
1,150,245.34,4.18
2,200,309.89,5.04
3,250,371.61,5.74
4,300,430.23,6.39
5,350,489.3,6.98
6,400,545.48,7.55
7,450,603.66,8.13
8,500,659.02,8.65
9,550,715.58,9.18
10,600,772.64,9.76
11,650,826.41,10.28
12,700,880.14,10.73
13,750,935.15,11.17
14,800,990.94,11.77
15,850,1045.1,12.2
16,900,1098.47,12.69
17,950,1152.26,13.1
18,1000,1201.01,13.37
