,K,avgs
0,50,107.98
1,100,210.45
2,150,306.825
3,200,413.07
4,250,491.16
5,300,589.86
6,350,691.64
7,400,776.19
8,450,880.36
9,500,969.37
10,550,1079.33
11,600,1138.18
12,650,1266.44
13,700,1326.16
14,750,1428.77
15,800,1547.66
16,850,1643.65
17,900,1737.45
18,950,1837.85
19,1000,1960.71
