,K,avgs
0,50,105.88
1,100,208.675
2,150,303.865
3,200,402.405
4,250,490.475
5,300,594.345
6,350,674.635
7,400,771.415
8,450,884.77
9,500,974.795
10,550,1052.945
11,600,1158.06
12,650,1250.035
13,700,1343.725
14,750,1434.615
15,800,1558.335
16,850,1668.57
17,900,1736.235
18,950,1837.46
19,1000,1913.235
