,K,avgs,feedback_packet_avgs
0,100,127.89,2.07
1,150,183.76,2.32
2,200,240.93,2.75
3,250,294.68,2.93
4,300,350.37,3.19
5,350,403.64,3.35
6,400,457.46,3.61
7,450,511.21,3.78
8,500,563.85,3.92
9,550,616.8,4.1
10,600,668.03,4.15
11,650,721.74,4.32
12,700,773.12,4.42
13,750,825.98,4.59
14,800,878.46,4.62
15,850,931.54,4.81
16,900,983.22,4.86
17,950,1034.89,4.97
18,1000,1087.47,5.07
