,K,avgs
0,50,130.08
1,100,253.71
2,150,372.03
3,200,488.21
4,250,620.8
5,300,731.25
6,350,846.95
7,400,964.11
8,450,1072.35
9,500,1184.13
10,550,1327.29
11,600,1437.35
12,650,1558.08
13,700,1666.02
14,750,1789.72
15,800,1930.98
16,850,2041.58
17,900,2137.37
18,950,2258.52
19,1000,2364.69
