,K,avgs
0,50,80.5
1,100,146.88
2,150,212.71
3,200,279.14
4,250,337.53
5,300,401.16
6,350,463.51
7,400,518.14
8,450,592.29
9,500,636.46
10,550,696.51
11,600,756.86
12,650,814.1
13,700,871.44
14,750,937.21
15,800,998.33
16,850,1049.09
17,900,1103.73
18,950,1158.26
19,1000,1227.69
